Test_Time,2025-07-16 01:52:25
Target_Z(mm),-15.000
Step_Size(mm),0.500
Force_Limit(N),45.0
Baseline_Force(N),1.766
Baseline_Std(N),0.008

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752645139.359,-8.001,1.770,0.004
1752645139.429,-8.031,1.768,0.002
1752645139.500,-8.109,1.774,0.008
1752645139.573,-8.243,1.772,0.006
1752645139.643,-8.401,1.770,0.004
1752645139.713,-8.531,1.770,0.004
1752645139.783,-8.666,1.770,0.004
1752645139.853,-8.805,1.766,-0.000
1752645139.924,-8.940,1.768,0.002
1752645139.994,-9.083,1.764,-0.002
1752645140.065,-9.218,1.772,0.006
1752645140.135,-9.356,1.764,-0.002
1752645140.205,-9.493,1.768,0.002
1752645140.273,-9.626,1.770,0.004
1752645140.344,-9.761,1.766,-0.000
1752645140.416,-9.901,1.774,0.008
1752645140.486,-10.039,1.772,0.006
1752645140.556,-10.172,1.766,-0.000
1752645140.625,-10.306,1.614,-0.152
1752645140.694,-10.443,1.316,-0.451
1752645140.764,-10.576,0.953,-0.814
1752645140.835,-10.718,0.338,-1.428
1752645140.907,-10.854,-0.691,-2.457
1752645140.977,-10.993,-1.909,-3.675
1752645141.048,-11.129,-3.220,-4.986
1752645141.118,-11.268,-4.687,-6.453
1752645141.188,-11.404,-6.231,-7.997
1752645141.259,-11.540,-7.965,-9.731
1752645141.328,-11.674,-9.816,-11.582
1752645141.398,-11.813,-11.059,-12.825
1752645141.468,-11.948,-12.573,-14.340
1752645141.539,-12.081,-14.241,-16.008
1752645141.609,-12.220,-16.179,-17.946
1752645141.681,-12.356,-18.233,-20.000
1752645141.752,-12.494,-20.321,-22.087
1752645141.823,-12.633,-21.425,-23.191
1752645141.891,-12.765,-23.064,-24.830
1752645141.960,-12.898,-25.006,-26.772
1752645142.032,-13.038,-27.126,-28.892
1752645142.102,-13.174,-29.286,-31.052
1752645142.173,-13.308,-31.471,-33.237
1752645142.244,-13.446,-33.849,-35.615
1752645142.315,-13.585,-36.448,-38.215
1752645142.385,-13.721,-39.025,-40.792
1752645142.455,-13.858,-41.673,-43.439
1752645142.525,-13.994,-44.316,-46.082
