Test_Time,2025-07-10 21:53:30
Well,A6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),98.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.054,0.206,Down
0.221,-0.216,0.208,Down
0.326,-0.491,0.206,Down
0.433,-0.883,0.210,Down
0.536,-1.378,0.206,Down
0.645,-1.998,0.206,Down
0.748,-2.698,0.210,Down
0.855,-3.539,0.220,Down
0.960,-4.415,0.206,Down
1.067,-5.305,0.208,Down
1.174,-6.196,0.201,Down
1.277,-7.055,0.206,Down
1.384,-7.950,0.204,Down
1.489,-8.821,0.206,Down
1.595,-9.701,0.212,Down
1.697,-10.555,0.218,Down
1.804,-11.441,0.210,Down
1.906,-12.249,0.208,Down
2.010,-12.969,-7.556,Down
2.117,-13.595,-17.773,Down
2.223,-14.098,-24.248,Down
2.327,-14.486,-23.846,Down
2.434,-14.773,-29.103,Down
2.539,-14.941,-33.332,Down
2.645,-15.000,-37.378,Down
2.748,-14.973,-25.396,Up
2.855,-14.836,-26.547,Up
2.963,-14.585,-26.371,Up
3.069,-14.221,-25.120,Up
3.175,-13.744,-21.898,Up
3.281,-13.159,-16.698,Up
3.387,-12.465,-15.320,Up
3.491,-11.665,-16.725,Up
3.597,-10.786,-19.078,Up
3.702,-9.916,-10.388,Up
3.809,-9.026,0.747,Up
3.914,-8.143,5.034,Up
4.018,-7.280,0.276,Up
4.123,-6.410,0.216,Up
4.229,-5.520,0.218,Up
4.333,-4.657,0.206,Up
4.436,-3.798,0.204,Up
4.544,-2.926,0.220,Up
4.648,-2.181,0.212,Up
4.756,-1.528,0.206,Up
4.860,-1.010,0.208,Up
4.964,-0.595,0.210,Up
5.070,-0.286,0.208,Up
5.177,-0.088,0.214,Up
