Test_Time,2025-07-10 21:53:51
Well,C6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),116.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.054,0.204,Down
0.222,-0.220,0.226,Down
0.326,-0.490,0.224,Down
0.431,-0.876,0.218,Down
0.538,-1.381,0.220,Down
0.646,-2.001,0.214,Down
0.752,-2.731,0.214,Down
0.855,-3.549,0.210,Down
0.962,-4.434,0.212,Down
1.068,-5.320,0.226,Down
1.175,-6.211,0.220,Down
1.282,-7.104,0.216,Down
1.385,-7.960,0.210,Down
1.490,-8.830,0.214,Down
1.597,-9.720,0.208,Down
1.700,-10.580,0.220,Down
1.806,-11.461,0.222,Down
1.910,-12.279,-6.139,Down
2.014,-12.995,-14.953,Down
2.118,-13.600,-23.294,Down
2.225,-14.109,-31.068,Down
2.332,-14.504,-36.857,Down
2.440,-14.783,-40.513,Down
2.546,-14.949,-42.523,Down
2.652,-15.000,-42.403,Down
2.757,-14.966,-40.710,Up
2.865,-14.821,-38.851,Up
2.972,-14.564,-35.689,Up
3.078,-14.190,-33.027,Up
3.185,-13.705,-29.938,Up
3.289,-13.119,-26.991,Up
3.396,-12.405,-22.597,Up
3.502,-11.593,-17.733,Up
3.609,-10.703,-12.654,Up
3.711,-9.850,-7.762,Up
3.818,-8.959,-2.297,Up
3.924,-8.075,4.617,Up
4.032,-7.183,1.978,Up
4.138,-6.295,0.255,Up
4.241,-5.438,0.214,Up
4.347,-4.554,0.208,Up
4.454,-3.666,0.214,Up
4.556,-2.848,0.218,Up
4.663,-2.099,0.214,Up
4.769,-1.466,0.214,Up
4.876,-0.944,0.216,Up
4.982,-0.543,0.224,Up
5.083,-0.259,0.228,Up
5.190,-0.074,0.231,Up
