Test_Time,2025-07-10 22:01:09
Well,B5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),107.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.055,0.208,Down
0.225,-0.224,0.208,Down
0.328,-0.496,0.210,Down
0.440,-0.909,0.208,Down
0.542,-1.396,0.206,Down
0.649,-2.020,0.216,Down
0.755,-2.750,0.204,Down
0.859,-3.579,0.199,Down
0.967,-4.471,0.214,Down
1.073,-5.355,0.201,Down
1.180,-6.243,0.208,Down
1.287,-7.133,0.208,Down
1.394,-8.025,0.204,Down
1.501,-8.917,0.208,Down
1.608,-9.813,0.199,Down
1.713,-10.685,0.210,Down
1.820,-11.574,0.208,Down
1.927,-12.403,0.208,Down
2.033,-13.110,0.208,Down
2.137,-13.696,0.208,Down
2.240,-14.166,0.195,Down
2.347,-14.546,0.199,Down
2.452,-14.806,0.206,Down
2.555,-14.956,0.201,Down
2.659,-15.000,0.214,Down
2.763,-14.963,0.199,Up
2.866,-14.820,0.195,Up
2.974,-14.558,0.210,Up
3.076,-14.200,0.212,Up
3.183,-13.716,0.204,Up
3.291,-13.114,0.201,Up
3.397,-12.406,0.204,Up
3.504,-11.579,0.212,Up
3.609,-10.705,0.206,Up
3.714,-9.825,0.210,Up
3.820,-8.944,0.201,Up
3.927,-8.051,0.214,Up
4.033,-7.173,0.212,Up
4.137,-6.311,0.206,Up
4.243,-5.423,0.199,Up
4.350,-4.538,0.212,Up
4.455,-3.663,0.218,Up
4.562,-2.811,0.212,Up
4.667,-2.078,0.208,Up
4.774,-1.445,0.208,Up
4.881,-0.926,0.201,Up
4.988,-0.521,0.204,Up
5.095,-0.233,0.199,Up
5.203,-0.059,0.214,Up
