Test_Time,2025-07-11 04:33:17
Well,C6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.053
Sampling_Period(ms),20
Well_X(mm),116.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.053,0.226,Down
0.224,-0.219,0.220,Down
0.331,-0.499,0.233,Down
0.435,-0.880,0.224,Down
0.537,-1.361,0.231,Down
0.642,-1.965,0.233,Down
0.749,-2.691,0.237,Down
0.853,-3.510,0.228,Down
0.956,-4.364,0.226,Down
1.061,-5.248,0.231,Down
1.165,-6.113,0.222,Down
1.273,-7.008,0.235,Down
1.375,-7.856,0.237,Down
1.481,-8.744,0.228,Down
1.585,-9.608,0.233,Down
1.690,-10.483,0.224,Down
1.795,-11.355,0.226,Down
1.900,-12.191,-3.203,Down
2.006,-12.931,-18.350,Down
2.113,-13.559,-31.552,Down
2.214,-14.053,-45.507,Down
2.628,-14.998,-57.989,Down
2.735,-14.999,-65.963,Down
2.840,-14.999,-65.965,Down
2.944,-14.999,-65.967,Down
3.048,-14.999,-65.965,Down
3.964,-15.000,-65.961,Down
4.071,-14.948,-65.963,Up
4.178,-14.781,-65.961,Up
4.283,-14.505,-65.959,Up
4.387,-14.124,-65.963,Up
4.490,-13.645,-65.959,Up
4.593,-13.056,-65.963,Up
4.699,-12.334,-65.959,Up
4.802,-11.529,-65.961,Up
4.909,-10.638,-65.965,Up
5.016,-9.746,-65.957,Up
5.120,-8.877,-65.963,Up
5.223,-8.021,-65.961,Up
5.326,-7.165,-65.957,Up
5.433,-6.271,-65.963,Up
5.536,-5.414,-65.965,Up
5.644,-4.519,-64.257,Up
5.748,-3.655,-55.773,Up
5.855,-2.800,-45.924,Up
5.962,-2.059,-34.847,Up
6.065,-1.450,-22.481,Up
6.171,-0.934,-7.683,Up
6.278,-0.530,5.490,Up
6.381,-0.248,0.654,Up
6.488,-0.068,0.195,Up
