Test_Time,2025-07-11 04:44:44
Well,A6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.804
Sampling_Period(ms),10
Well_X(mm),98.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.065,0.255,Down
0.233,-0.244,0.255,Down
0.337,-0.527,0.251,Down
0.444,-0.929,0.255,Down
0.551,-1.445,0.251,Down
0.657,-2.075,0.249,Down
0.762,-2.808,0.243,Down
0.866,-3.639,0.247,Down
0.970,-4.500,0.241,Down
1.077,-5.391,0.243,Down
1.184,-6.284,0.260,Down
1.288,-7.150,0.241,Down
1.395,-8.045,0.247,Down
1.500,-8.917,0.253,Down
1.606,-9.804,0.247,Down
1.713,-10.691,0.247,Down
1.817,-11.553,0.247,Down
1.924,-12.388,-0.255,Down
2.029,-13.093,-7.565,Down
2.137,-13.699,-20.767,Down
2.239,-14.168,-30.660,Down
2.346,-14.548,-41.671,Down
2.449,-14.804,-52.120,Down
2.859,-14.999,-60.498,Down
2.966,-14.999,-65.961,Down
3.072,-14.999,-65.965,Down
3.179,-14.999,-65.961,Down
3.286,-14.999,-65.961,Down
4.206,-15.000,-65.957,Down
4.313,-14.950,-65.963,Up
4.416,-14.795,-65.967,Up
4.519,-14.533,-65.965,Up
4.623,-14.161,-65.957,Up
4.729,-13.671,-65.959,Up
4.836,-13.059,-65.946,Up
4.942,-12.349,-65.955,Up
5.046,-11.535,-65.944,Up
5.151,-10.659,-65.934,Up
5.259,-9.766,-65.921,Up
5.366,-8.870,-65.268,Up
5.469,-8.015,-63.658,Up
5.575,-7.130,-63.525,Up
5.682,-6.243,-63.143,Up
5.788,-5.359,-61.091,Up
5.894,-4.478,-56.836,Up
6.001,-3.586,-50.045,Up
6.108,-2.738,-41.057,Up
6.213,-2.011,-30.643,Up
6.321,-1.390,-21.377,Up
6.427,-0.885,-9.195,Up
6.533,-0.495,4.301,Up
6.638,-0.220,9.814,Up
6.746,-0.053,0.859,Up
