Test_Time,2025-07-11 05:32:00
Well,A6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.926
Sampling_Period(ms),20
Well_X(mm),98.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.053,0.336,Down
0.223,-0.216,0.349,Down
0.330,-0.496,0.343,Down
0.435,-0.891,0.349,Down
0.543,-1.333,0.340,Down
0.650,-1.779,0.340,Down
0.759,-2.235,0.351,Down
0.867,-2.684,0.345,Down
0.974,-3.125,0.347,Down
1.077,-3.553,0.343,Down
1.183,-3.995,0.349,Down
1.286,-4.424,0.353,Down
1.393,-4.870,0.347,Down
1.497,-5.304,0.347,Down
1.603,-5.746,0.347,Down
1.711,-6.193,0.349,Down
1.816,-6.633,0.345,Down
1.923,-7.079,0.343,Down
2.031,-7.524,0.347,Down
2.134,-7.958,0.347,Down
2.238,-8.386,0.349,Down
2.341,-8.818,0.338,Down
2.443,-9.243,0.347,Down
2.547,-9.674,0.347,Down
2.654,-10.120,0.338,Down
2.759,-10.560,0.345,Down
2.867,-11.008,0.338,Down
2.971,-11.438,0.349,Down
3.077,-11.881,0.237,Down
3.184,-12.330,-1.680,Down
3.289,-12.761,-7.648,Down
3.394,-13.201,-14.432,Down
3.497,-13.630,-21.362,Down
3.601,-14.065,-26.605,Down
3.704,-14.456,-33.581,Down
3.810,-14.749,-42.335,Down
3.914,-14.926,-50.848,Down
5.143,-15.000,-58.180,Down
5.250,-14.946,-64.110,Up
5.355,-14.783,-65.961,Up
5.459,-14.513,-65.965,Up
5.564,-14.130,-65.714,Up
5.669,-13.690,-65.301,Up
5.776,-13.245,-65.027,Up
5.880,-12.811,-64.799,Up
5.987,-12.370,-64.600,Up
6.094,-11.924,-64.413,Up
6.201,-11.475,-64.228,Up
6.309,-11.028,-64.064,Up
6.414,-10.591,-63.907,Up
6.518,-10.158,-63.770,Up
6.625,-9.711,-63.645,Up
6.732,-9.268,-62.201,Up
6.838,-8.825,-59.020,Up
6.944,-8.384,-53.352,Up
7.049,-7.948,-45.219,Up
7.156,-7.500,-35.550,Up
7.259,-7.070,-26.636,Up
7.367,-6.625,-20.370,Up
7.474,-6.181,-12.858,Up
7.580,-5.736,-4.046,Up
7.686,-5.298,2.737,Up
7.788,-4.874,7.179,Up
7.892,-4.440,8.463,Up
7.999,-3.995,1.841,Up
8.105,-3.550,0.289,Up
8.213,-3.101,0.172,Up
8.317,-2.670,0.112,Up
8.423,-2.226,0.096,Up
8.530,-1.781,0.085,Up
8.633,-1.353,0.077,Up
8.738,-0.915,0.077,Up
8.842,-0.526,0.081,Up
8.949,-0.238,0.075,Up
9.056,-0.061,0.085,Up
