Test_Time,2025-07-11 05:40:49
Well,B5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),107.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.065,0.112,Down
0.233,-0.245,0.110,Down
0.340,-0.540,0.114,Down
0.447,-0.895,0.121,Down
0.554,-1.250,0.112,Down
0.657,-1.594,0.114,Down
0.762,-1.946,0.110,Down
0.870,-2.304,0.116,Down
0.975,-2.654,0.121,Down
1.079,-3.000,0.118,Down
1.183,-3.345,0.121,Down
1.288,-3.696,0.125,Down
1.395,-4.052,0.123,Down
1.499,-4.398,0.125,Down
1.601,-4.739,0.129,Down
1.707,-5.094,0.116,Down
1.815,-5.453,0.123,Down
1.920,-5.804,0.133,Down
2.027,-6.158,0.125,Down
2.134,-6.514,0.121,Down
2.241,-6.871,0.121,Down
2.344,-7.213,0.121,Down
2.451,-7.569,0.127,Down
2.557,-7.924,0.123,Down
2.664,-8.281,0.133,Down
2.770,-8.635,0.129,Down
2.874,-8.979,0.127,Down
2.980,-9.334,0.123,Down
3.084,-9.683,0.139,Down
3.190,-10.035,0.129,Down
3.295,-10.384,0.131,Down
3.402,-10.740,0.135,Down
3.509,-11.096,0.133,Down
3.617,-11.455,0.135,Down
3.721,-11.803,0.135,Down
3.828,-12.156,0.137,Down
3.934,-12.514,0.083,Down
4.042,-12.869,0.013,Down
4.144,-13.211,-0.010,Down
4.251,-13.566,-0.060,Down
4.358,-13.921,-0.106,Down
4.464,-14.278,-0.195,Down
4.571,-14.619,-0.307,Down
4.674,-14.849,-1.388,Down
4.780,-14.978,-4.631,Down
4.991,-15.000,-8.588,Down
5.094,-14.954,-11.901,Up
5.202,-14.793,-13.596,Up
5.309,-14.516,-13.619,Up
5.416,-14.166,-12.362,Up
5.519,-13.821,-11.330,Up
5.623,-13.476,-9.289,Up
5.725,-13.136,-5.421,Up
5.832,-12.780,0.046,Up
5.936,-12.433,3.982,Up
6.041,-12.083,3.884,Up
6.145,-11.736,3.513,Up
6.250,-11.385,3.156,Up
6.358,-11.026,2.834,Up
6.460,-10.685,1.691,Up
6.568,-10.328,1.183,Up
6.674,-9.974,0.990,Up
6.779,-9.624,0.857,Up
6.887,-9.264,0.751,Up
6.992,-8.913,0.641,Up
7.099,-8.558,0.571,Up
7.206,-8.201,0.509,Up
7.308,-7.864,0.446,Up
7.414,-7.508,0.403,Up
7.518,-7.163,0.378,Up
7.624,-6.810,0.338,Up
7.731,-6.453,0.314,Up
7.837,-6.099,0.301,Up
7.944,-5.740,0.280,Up
8.050,-5.389,0.272,Up
8.157,-5.031,0.257,Up
8.265,-4.674,0.226,Up
8.370,-4.324,0.228,Up
8.477,-3.969,0.216,Up
8.582,-3.619,0.210,Up
8.688,-3.263,0.212,Up
8.795,-2.906,0.195,Up
8.901,-2.554,0.193,Up
9.006,-2.204,0.185,Up
9.111,-1.855,0.185,Up
9.214,-1.513,0.185,Up
9.319,-1.161,0.170,Up
9.427,-0.803,0.154,Up
9.532,-0.459,0.177,Up
9.639,-0.190,0.168,Up
9.743,-0.041,0.148,Up
