Test_Time,2025-07-11 05:40:09
Well,B6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.561
Sampling_Period(ms),10
Well_X(mm),107.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.063,0.164,Down
0.233,-0.239,0.166,Down
0.339,-0.526,0.158,Down
0.444,-0.875,0.164,Down
0.547,-1.218,0.168,Down
0.654,-1.574,0.177,Down
0.759,-1.925,0.162,Down
0.866,-2.284,0.166,Down
0.972,-2.635,0.174,Down
1.079,-2.991,0.177,Down
1.186,-3.346,0.164,Down
1.293,-3.704,0.166,Down
1.395,-4.045,0.172,Down
1.501,-4.396,0.183,Down
1.605,-4.742,0.168,Down
1.710,-5.091,0.177,Down
1.816,-5.446,0.177,Down
1.923,-5.803,0.177,Down
2.030,-6.160,0.174,Down
2.134,-6.508,0.181,Down
2.238,-6.851,0.166,Down
2.342,-7.199,0.183,Down
2.447,-7.550,0.183,Down
2.550,-7.893,0.172,Down
2.655,-8.241,0.179,Down
2.761,-8.595,0.187,Down
2.868,-8.953,0.191,Down
2.971,-9.296,0.183,Down
3.076,-9.645,0.183,Down
3.182,-9.998,0.189,Down
3.290,-10.356,0.187,Down
3.397,-10.714,0.189,Down
3.500,-11.056,0.193,Down
3.603,-11.401,0.060,Down
3.710,-11.755,-3.006,Down
3.812,-12.096,-8.328,Down
3.918,-12.450,-14.287,Down
4.022,-12.795,-19.966,Down
4.128,-13.149,-24.508,Down
4.232,-13.496,-30.440,Down
4.339,-13.849,-35.973,Down
4.446,-14.211,-42.660,Down
4.554,-14.561,-49.974,Down
5.785,-15.000,-57.342,Down
5.892,-14.950,-64.073,Up
5.998,-14.788,-65.959,Up
6.105,-14.510,-65.952,Up
6.209,-14.165,-65.967,Up
6.314,-13.818,-65.963,Up
6.421,-13.461,-65.963,Up
6.528,-13.106,-65.961,Up
6.634,-12.750,-65.961,Up
6.738,-12.404,-65.955,Up
6.843,-12.055,-65.957,Up
6.950,-11.699,-65.955,Up
7.057,-11.343,-65.963,Up
7.164,-10.986,-65.963,Up
7.267,-10.641,-65.959,Up
7.371,-10.296,-65.961,Up
7.477,-9.943,-65.965,Up
7.584,-9.587,-65.961,Up
7.688,-9.240,-60.728,Up
7.795,-8.884,-51.898,Up
7.900,-8.533,-45.422,Up
8.005,-8.183,-37.863,Up
8.109,-7.839,-29.834,Up
8.216,-7.483,-23.613,Up
8.323,-7.125,-17.723,Up
8.426,-6.783,-10.990,Up
8.532,-6.428,-3.826,Up
8.638,-6.074,1.654,Up
8.743,-5.725,3.905,Up
8.846,-5.381,2.484,Up
8.951,-5.031,1.386,Up
9.059,-4.674,0.295,Up
9.166,-4.315,0.071,Up
9.272,-3.963,0.009,Up
9.376,-3.615,-0.043,Up
9.484,-3.258,-0.070,Up
9.588,-2.908,-0.074,Up
9.696,-2.550,-0.085,Up
9.803,-2.194,-0.077,Up
9.910,-1.836,-0.070,Up
10.017,-1.480,-0.079,Up
10.125,-1.120,-0.074,Up
10.229,-0.774,-0.066,Up
10.332,-0.439,-0.060,Up
10.453,-0.146,-0.056,Up
10.565,-0.020,-0.048,Up
