Test_Time,2025-07-15 19:40:01
Well,A1
Target_Z(mm),-14.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),97.000
Well_Y(mm),58.500

Timestamp(s),Z_Position(mm),Force(N),Movement
0.012,-0.064,2.123,Down
0.235,-0.243,2.123,Down
0.341,-0.533,2.121,Down
0.448,-0.889,2.123,Down
0.555,-1.246,2.114,Down
0.662,-1.603,2.117,Down
0.769,-1.959,2.119,Down
0.875,-2.313,2.127,Down
0.982,-2.668,2.123,Down
1.089,-3.025,2.127,Down
1.196,-3.380,2.121,Down
1.300,-3.730,2.125,Down
1.404,-4.074,2.123,Down
1.508,-4.421,2.110,Down
1.614,-4.775,2.114,Down
1.721,-5.129,2.123,Down
1.828,-5.484,2.117,Down
1.935,-5.841,2.114,Down
2.041,-6.198,2.131,Down
2.146,-6.545,2.117,Down
2.251,-6.896,2.112,Down
2.356,-7.245,2.119,Down
2.459,-7.588,2.127,Down
2.562,-7.934,2.119,Down
2.667,-8.283,2.125,Down
2.775,-8.640,2.123,Down
2.881,-8.995,2.123,Down
2.987,-9.349,2.114,Down
3.092,-9.696,2.114,Down
3.194,-10.038,2.119,Down
3.299,-10.386,2.121,Down
3.404,-10.736,2.069,Down
3.508,-11.083,1.934,Down
3.612,-11.431,1.884,Down
3.716,-11.779,1.795,Down
3.824,-12.134,1.799,Down
3.929,-12.485,1.623,Down
4.034,-12.835,1.123,Down
4.141,-13.193,0.399,Down
4.247,-13.541,-0.467,Down
4.353,-13.806,-0.738,Down
4.458,-13.958,-0.873,Down
4.668,-14.000,-0.857,Down
4.775,-13.948,-1.108,Up
4.879,-13.788,-0.946,Up
4.986,-13.509,-0.811,Up
5.092,-13.155,-0.564,Up
5.198,-12.803,-0.319,Up
5.305,-12.448,0.517,Up
5.410,-12.099,2.056,Up
5.517,-11.743,2.457,Up
5.621,-11.396,2.411,Up
5.726,-11.045,2.401,Up
5.829,-10.704,2.345,Up
5.935,-10.349,3.486,Up
6.042,-9.991,3.281,Up
6.146,-9.645,2.990,Up
6.254,-9.288,2.648,Up
6.361,-8.933,2.446,Up
6.467,-8.576,2.386,Up
6.574,-8.220,2.390,Up
6.678,-7.874,2.355,Up
6.785,-7.518,2.332,Up
6.890,-7.169,2.305,Up
6.995,-6.820,2.297,Up
7.102,-6.463,2.305,Up
7.205,-6.120,2.299,Up
7.312,-5.763,2.297,Up
7.419,-5.405,2.293,Up
7.525,-5.052,2.276,Up
7.628,-4.709,2.283,Up
7.736,-4.351,2.278,Up
7.841,-4.000,2.270,Up
7.946,-3.651,2.264,Up
8.050,-3.303,2.256,Up
8.157,-2.949,2.247,Up
8.262,-2.596,2.237,Up
8.367,-2.248,2.229,Up
8.471,-1.903,2.218,Up
8.575,-1.555,2.204,Up
8.679,-1.209,2.202,Up
8.783,-0.861,2.195,Up
8.887,-0.516,2.183,Up
8.993,-0.233,2.191,Up
9.097,-0.061,2.168,Up
