Test_Time,2025-07-15 19:54:27
Well,C6
Target_Z(mm),-14.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),115.000
Well_Y(mm),103.500

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.064,2.121,Down
0.234,-0.244,2.121,Down
0.340,-0.531,2.114,Down
0.444,-0.876,2.119,Down
0.547,-1.219,2.110,Down
0.654,-1.575,2.121,Down
0.761,-1.933,2.110,Down
0.865,-2.279,2.121,Down
0.971,-2.634,2.114,Down
1.078,-2.990,2.106,Down
1.185,-3.348,2.114,Down
1.293,-3.704,2.123,Down
1.397,-4.052,2.123,Down
1.505,-4.411,2.125,Down
1.611,-4.765,2.114,Down
1.718,-5.123,2.112,Down
1.825,-5.479,2.117,Down
1.932,-5.836,2.114,Down
2.039,-6.190,2.119,Down
2.142,-6.533,2.110,Down
2.244,-6.874,2.119,Down
2.350,-7.226,2.123,Down
2.455,-7.576,2.121,Down
2.557,-7.918,2.114,Down
2.662,-8.268,2.112,Down
2.766,-8.611,2.123,Down
2.868,-8.954,2.108,Down
2.974,-9.306,2.114,Down
3.078,-9.654,2.110,Down
3.181,-9.995,2.110,Down
3.287,-10.346,2.112,Down
3.391,-10.694,2.125,Down
3.498,-11.051,1.643,Down
3.605,-11.409,0.714,Down
3.711,-11.760,0.160,Down
3.816,-12.109,-0.631,Down
3.919,-12.454,-0.875,Down
4.025,-12.808,-0.875,Down
4.133,-13.165,-1.006,Down
4.240,-13.518,-1.122,Down
4.347,-13.794,-1.120,Down
4.451,-13.951,-1.056,Down
4.657,-14.000,-0.971,Down
4.763,-13.948,-0.826,Up
4.869,-13.783,-0.875,Up
4.973,-13.514,-0.722,Up
5.080,-13.159,-0.533,Up
5.187,-12.804,-0.224,Up
5.292,-12.454,0.830,Up
5.395,-12.109,1.685,Up
5.503,-11.753,1.849,Up
5.606,-11.405,1.955,Up
5.711,-11.058,1.967,Up
5.815,-10.711,2.040,Up
5.922,-10.355,2.069,Up
6.030,-9.995,1.973,Up
6.136,-9.640,1.986,Up
6.240,-9.294,1.955,Up
6.343,-8.951,3.212,Up
6.448,-8.603,2.299,Up
6.551,-8.258,2.200,Up
6.657,-7.908,2.170,Up
6.762,-7.555,2.121,Up
6.870,-7.198,2.117,Up
6.977,-6.840,2.112,Up
7.081,-6.494,2.121,Up
7.185,-6.146,2.112,Up
7.290,-5.799,2.112,Up
7.394,-5.453,2.106,Up
7.501,-5.095,2.117,Up
7.607,-4.742,2.117,Up
7.710,-4.398,2.127,Up
7.815,-4.048,2.117,Up
7.921,-3.695,2.119,Up
8.025,-3.350,2.131,Up
8.129,-3.003,2.114,Up
8.234,-2.653,2.112,Up
8.341,-2.297,2.121,Up
8.448,-1.941,2.117,Up
8.555,-1.584,2.121,Up
8.660,-1.234,2.123,Up
8.766,-0.881,2.119,Up
8.870,-0.533,2.119,Up
8.977,-0.243,2.127,Up
9.084,-0.064,2.125,Up
