Test_Time,2025-07-17 17:14:48
Well,C6
Target_Z(mm),-15.000
Step_Size(mm),0.200
Force_Limit(N),45.0
Baseline_Force(N),-4.915
Baseline_Std(N),0.152

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752786880.325,-9.501,-4.776,0.139
1752786880.395,-9.530,-5.677,-0.761
1752786880.463,-9.609,-7.363,-2.448
1752786880.532,-9.686,-8.573,-3.658
1752786880.603,-9.752,-9.181,-4.266
1752786880.672,-9.813,-7.621,-2.706
1752786880.742,-9.883,-7.917,-3.002
1752786880.811,-9.954,-8.114,-3.199
1752786880.882,-10.021,-7.556,-2.641
1752786880.953,-10.087,-7.791,-2.876
1752786881.021,-10.163,-7.965,-3.050
1752786881.090,-10.228,-7.739,-2.824
1752786881.160,-10.299,-7.509,-2.594
1752786881.230,-10.363,-7.899,-2.984
1752786881.299,-10.431,-8.017,-3.102
1752786881.368,-10.499,-7.637,-2.722
1752786881.437,-10.568,-7.890,-2.975
1752786881.508,-10.634,-8.154,-3.239
1752786881.578,-10.706,-7.890,-2.975
1752786881.648,-10.773,-7.839,-2.923
1752786881.720,-10.846,-8.195,-3.280
1752786881.791,-10.909,-8.025,-3.110
1752786881.861,-10.976,-7.901,-2.986
1752786881.931,-11.051,-7.888,-2.973
1752786882.000,-11.114,-8.195,-3.280
1752786882.068,-11.176,-8.388,-3.473
1752786882.136,-11.251,-8.034,-3.118
1752786882.204,-11.311,-8.019,-3.104
1752786882.272,-11.379,-8.133,-3.218
1752786882.340,-11.453,-7.859,-2.944
1752786882.408,-11.511,-8.129,-3.214
1752786882.476,-11.575,-8.214,-3.299
1752786882.544,-11.651,-8.119,-3.204
1752786882.612,-11.716,-8.384,-3.469
1752786882.680,-11.785,-8.473,-3.558
1752786882.748,-11.854,-8.200,-3.284
1752786882.816,-11.923,-8.326,-3.411
1752786882.886,-11.986,-8.268,-3.353
1752786882.953,-12.059,-8.571,-3.656
1752786883.022,-12.123,-8.637,-3.722
1752786883.091,-12.191,-8.967,-4.052
1752786883.160,-12.259,-9.218,-4.303
1752786883.231,-12.329,-9.729,-4.814
1752786883.300,-12.394,-10.403,-5.488
1752786883.370,-12.466,-11.517,-6.602
1752786883.438,-12.534,-12.567,-7.652
1752786883.509,-12.603,-13.717,-8.801
1752786883.580,-12.673,-14.802,-9.887
1752786883.649,-12.739,-15.889,-10.974
1752786883.716,-12.810,-17.032,-12.117
1752786883.785,-12.875,-18.123,-13.208
1752786883.854,-12.945,-19.337,-14.422
1752786883.922,-13.011,-20.397,-15.482
1752786883.991,-13.081,-21.385,-16.470
1752786884.061,-13.148,-21.300,-16.385
1752786884.132,-13.219,-22.203,-17.288
1752786884.201,-13.286,-23.319,-18.404
1752786884.270,-13.356,-24.425,-19.510
1752786884.337,-13.423,-25.446,-20.530
1752786884.406,-13.493,-26.506,-21.591
1752786884.476,-13.559,-27.527,-22.612
1752786884.546,-13.631,-28.713,-23.798
1752786884.615,-13.698,-29.786,-24.871
1752786884.683,-13.769,-30.977,-26.062
1752786884.753,-13.835,-32.102,-27.187
1752786884.823,-13.906,-33.349,-28.434
1752786884.891,-13.974,-34.492,-29.577
1752786884.959,-14.044,-35.743,-30.828
1752786885.027,-14.109,-36.911,-31.996
1752786885.095,-14.179,-38.191,-33.276
1752786885.163,-14.244,-39.341,-34.426
1752786885.231,-14.313,-40.584,-35.668
1752786885.299,-14.378,-41.723,-36.808
1752786885.367,-14.446,-42.967,-38.052
1752786885.435,-14.518,-44.161,-39.245
1752786885.503,-14.579,-45.202,-40.287
1752786885.570,-14.649,-46.449,-41.534
1752786885.638,-14.714,-47.642,-42.727
1752786885.706,-14.781,-48.881,-43.966
1752786885.774,-14.853,-50.173,-45.258
