Test_Time,2025-07-17 18:05:02
Well,B5
Target_Z(mm),-15.000
Step_Size(mm),0.200
Force_Limit(N),45.0
Baseline_Force(N),2.119
Baseline_Std(N),0.003

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752789893.762,-9.501,2.102,-0.017
1752789893.830,-9.529,2.050,-0.068
1752789893.898,-9.603,1.965,-0.154
1752789893.968,-9.681,1.946,-0.172
1752789894.036,-9.745,1.845,-0.274
1752789894.103,-9.805,1.745,-0.373
1752789894.172,-9.875,1.693,-0.425
1752789894.239,-9.943,1.693,-0.425
1752789894.307,-10.009,1.745,-0.373
1752789894.376,-10.080,1.797,-0.322
1752789894.448,-10.144,1.814,-0.305
1752789894.515,-10.216,1.895,-0.224
1752789894.584,-10.283,1.930,-0.189
1752789894.652,-10.351,1.963,-0.156
1752789894.722,-10.418,2.004,-0.114
1752789894.788,-10.489,2.025,-0.093
1752789894.855,-10.551,2.054,-0.064
1752789894.923,-10.620,2.056,-0.062
1752789894.991,-10.691,2.090,-0.029
1752789895.059,-10.753,2.104,-0.015
1752789895.127,-10.816,2.106,-0.012
1752789895.195,-10.888,2.114,-0.004
1752789895.263,-10.954,2.117,-0.002
1752789895.332,-11.023,2.112,-0.006
1752789895.400,-11.089,2.114,-0.004
1752789895.468,-11.159,2.106,-0.012
1752789895.537,-11.223,2.106,-0.012
1752789895.604,-11.293,2.114,-0.004
1752789895.672,-11.363,2.119,0.000
1752789895.740,-11.424,2.121,0.002
1752789895.810,-11.496,2.121,0.002
1752789895.878,-11.563,2.123,0.004
1752789895.947,-11.629,2.119,0.000
1752789896.017,-11.703,2.119,0.000
1752789896.087,-11.768,2.119,0.000
1752789896.156,-11.839,2.125,0.006
1752789896.226,-11.901,2.127,0.008
1752789896.297,-11.965,2.125,0.006
1752789896.367,-12.045,2.119,0.000
1752789896.437,-12.108,2.102,-0.017
1752789896.507,-12.171,2.071,-0.048
1752789896.576,-12.249,2.031,-0.087
1752789896.646,-12.318,1.984,-0.135
1752789896.717,-12.380,1.924,-0.195
1752789896.789,-12.454,1.855,-0.264
1752789896.859,-12.521,1.770,-0.349
1752789896.929,-12.591,1.677,-0.442
1752789897.000,-12.654,1.600,-0.519
1752789897.069,-12.721,1.488,-0.631
1752789897.139,-12.793,1.376,-0.743
1752789897.209,-12.863,1.264,-0.855
1752789897.279,-12.929,1.137,-0.981
1752789897.349,-13.003,0.996,-1.122
1752789897.417,-13.070,0.897,-1.222
1752789897.487,-13.133,0.801,-1.318
1752789897.556,-13.206,0.654,-1.465
1752789897.624,-13.273,0.581,-1.537
1752789897.691,-13.339,0.453,-1.666
1752789897.759,-13.406,0.338,-1.780
1752789897.827,-13.475,0.204,-1.915
1752789897.895,-13.545,0.094,-2.025
1752789897.963,-13.609,0.031,-2.087
1752789898.031,-13.679,-0.091,-2.210
1752789898.101,-13.744,-0.162,-2.280
1752789898.169,-13.813,-0.249,-2.367
1752789898.238,-13.879,-0.326,-2.444
1752789898.307,-13.948,-0.440,-2.558
1752789898.377,-14.014,-0.496,-2.614
1752789898.447,-14.085,-0.616,-2.735
1752789898.517,-14.151,-0.687,-2.805
1752789898.587,-14.224,-0.811,-2.930
1752789898.657,-14.290,-0.909,-3.027
1752789898.726,-14.363,-1.039,-3.158
1752789898.794,-14.424,-1.079,-3.197
1752789898.866,-14.494,-1.249,-3.367
1752789898.935,-14.564,-1.321,-3.440
1752789899.002,-14.631,-1.444,-3.562
1752789899.072,-14.695,-1.556,-3.675
1752789899.142,-14.768,-1.724,-3.843
1752789899.211,-14.835,-1.803,-3.921
1752789899.281,-14.904,-1.979,-4.098
1752789899.349,-14.971,-2.124,-4.243
1752789899.417,-15.041,-2.299,-4.417
