Test_Time,2025-07-17 19:10:40
Well,E7
Target_Z(mm),-15.000
Step_Size(mm),0.200
Force_Limit(N),45.0
Baseline_Force(N),-8.365
Baseline_Std(N),0.043

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752793833.986,-9.501,-8.465,-0.100
1752793834.056,-9.529,-9.486,-1.121
1752793834.125,-9.608,-11.235,-2.870
1752793834.194,-9.685,-10.106,-1.741
1752793834.264,-9.750,-9.783,-1.418
1752793834.333,-9.809,-10.063,-1.698
1752793834.403,-9.879,-9.868,-1.503
1752793834.471,-9.949,-10.086,-1.720
1752793834.540,-10.015,-10.602,-2.237
1752793834.609,-10.086,-10.868,-2.503
1752793834.678,-10.153,-11.426,-3.061
1752793834.746,-10.223,-12.229,-3.864
1752793834.814,-10.288,-13.133,-4.768
1752793834.882,-10.359,-14.223,-5.858
1752793834.950,-10.424,-15.287,-6.922
1752793835.019,-10.491,-16.432,-8.067
1752793835.088,-10.559,-17.482,-9.117
1752793835.158,-10.629,-18.511,-10.146
1752793835.226,-10.694,-19.468,-11.103
1752793835.294,-10.764,-20.449,-12.084
1752793835.364,-10.829,-21.395,-13.030
1752793835.433,-10.900,-22.346,-13.981
1752793835.501,-10.966,-22.541,-14.176
1752793835.569,-11.034,-22.680,-14.315
1752793835.638,-11.100,-23.684,-15.319
1752793835.707,-11.170,-24.717,-16.352
1752793835.777,-11.235,-25.624,-17.259
1752793835.847,-11.306,-26.601,-18.236
1752793835.917,-11.374,-27.520,-19.155
1752793835.986,-11.445,-28.545,-20.180
1752793836.056,-11.511,-29.539,-21.174
1752793836.125,-11.584,-30.633,-22.268
1752793836.194,-11.644,-31.404,-23.039
1752793836.263,-11.714,-32.672,-24.307
1752793836.331,-11.781,-33.849,-25.484
1752793836.400,-11.848,-35.071,-26.706
1752793836.470,-11.920,-36.394,-28.029
1752793836.539,-11.985,-37.608,-29.243
1752793836.608,-12.056,-38.913,-30.548
1752793836.677,-12.124,-40.121,-31.756
1752793836.746,-12.193,-41.403,-33.038
1752793836.815,-12.260,-42.590,-34.225
1752793836.886,-12.331,-43.849,-35.484
1752793836.954,-12.399,-45.024,-36.659
1752793837.023,-12.469,-46.262,-37.897
1752793837.091,-12.536,-47.412,-39.047
1752793837.161,-12.606,-48.580,-40.215
1752793837.232,-12.674,-49.709,-41.344
1752793837.301,-12.746,-50.933,-42.568
1752793837.371,-12.806,-51.962,-43.597
1752793837.439,-12.871,-53.099,-44.734
1752793837.508,-12.944,-54.358,-45.993
