Test_Time,2025-07-17 21:10:29
Well,D5
Target_Z(mm),-14.000
Step_Size(mm),0.200
Force_Limit(N),45.0
Baseline_Force(N),-12.638
Baseline_Std(N),0.023

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752801021.283,-9.501,-12.808,-0.170
1752801021.352,-9.531,-13.868,-1.230
1752801021.423,-9.611,-15.611,-2.973
1752801021.494,-9.690,-16.868,-4.231
1752801021.564,-9.752,-17.949,-5.312
1752801021.635,-9.814,-19.007,-6.370
1752801021.705,-9.886,-19.582,-6.944
1752801021.776,-9.955,-20.574,-7.936
1752801021.847,-10.025,-21.609,-8.972
1752801021.920,-10.095,-21.850,-9.212
1752801021.989,-10.163,-12.511,0.127
1752801022.059,-10.231,1.581,14.219
1752801022.130,-10.304,2.114,14.752
1752801022.201,-10.371,2.148,14.785
1752801022.271,-10.445,2.154,14.791
1752801022.342,-10.508,2.156,14.794
1752801022.412,-10.574,2.158,14.796
1752801022.482,-10.649,2.166,14.804
1752801022.552,-10.711,2.166,14.804
1752801022.623,-10.778,2.164,14.802
1752801022.694,-10.854,2.170,14.808
1752801022.763,-10.916,2.166,14.804
1752801022.833,-10.981,2.170,14.808
1752801022.904,-11.058,2.168,14.806
1752801022.974,-11.121,2.175,14.812
1752801023.044,-11.184,2.175,14.812
1752801023.114,-11.261,2.170,14.808
1752801023.184,-11.325,2.175,14.812
1752801023.256,-11.396,2.177,14.814
1752801023.326,-11.469,2.175,14.812
1752801023.397,-11.533,2.175,14.812
1752801023.467,-11.609,2.177,14.814
1752801023.538,-11.676,2.175,14.812
1752801023.609,-11.748,2.175,14.812
1752801023.677,-11.810,2.177,14.814
1752801023.746,-11.881,2.177,14.814
1752801023.817,-11.950,2.173,14.810
1752801023.887,-12.021,2.175,14.812
1752801023.956,-12.086,2.175,14.812
1752801024.029,-12.161,2.170,14.808
1752801024.100,-12.231,2.177,14.814
1752801024.170,-12.296,2.170,14.808
1752801024.239,-12.366,2.181,14.818
1752801024.311,-12.433,2.175,14.812
1752801024.382,-12.506,2.117,14.754
1752801024.452,-12.575,1.903,14.540
1752801024.524,-12.640,1.579,14.217
1752801024.592,-12.715,1.094,13.731
1752801024.662,-12.779,0.565,13.202
1752801024.733,-12.853,-0.018,12.619
1752801024.804,-12.918,-0.581,12.057
1752801024.875,-12.989,-1.448,11.190
1752801024.945,-13.059,-2.402,10.235
1752801025.014,-13.128,-3.427,9.210
1752801025.084,-13.190,-4.367,8.270
1752801025.168,-13.263,-5.450,7.187
1752801025.247,-13.343,-6.695,5.942
1752801025.323,-13.408,-7.025,5.612
1752801025.420,-13.480,-8.314,4.324
1752801025.527,-13.579,-8.787,3.851
1752801025.598,-13.648,-7.934,4.704
1752801025.666,-13.694,-7.668,4.969
1752801025.736,-13.765,-8.401,4.237
1752801025.806,-13.843,-9.314,3.324
1752801025.877,-13.908,-10.449,2.189
1752801025.946,-13.970,-11.584,1.054
1752801026.019,-14.040,-12.965,-0.328
