Test_Time,2025-07-18 00:35:25
Well,E6
Target_Z(mm),-13.000
Step_Size(mm),0.200
Force_Limit(N),40.0
Baseline_Force(N),1.837
Baseline_Std(N),0.005

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752813319.230,-9.501,1.834,-0.002
1752813319.299,-9.531,1.834,-0.002
1752813319.369,-9.610,1.836,-0.000
1752813319.439,-9.688,1.836,-0.000
1752813319.508,-9.756,1.841,0.004
1752813319.578,-9.814,1.834,-0.002
1752813319.646,-9.885,1.832,-0.005
1752813319.715,-9.956,1.841,0.004
1752813319.784,-10.019,1.845,0.008
1752813319.853,-10.094,1.843,0.006
1752813319.923,-10.160,1.841,0.004
1752813319.990,-10.230,1.841,0.004
1752813320.058,-10.291,1.843,0.006
1752813320.126,-10.366,1.841,0.004
1752813320.194,-10.436,1.839,0.002
1752813320.262,-10.496,1.843,0.006
1752813320.330,-10.564,1.836,-0.000
1752813320.398,-10.635,1.834,-0.002
1752813320.467,-10.701,1.839,0.002
1752813320.534,-10.771,1.834,-0.002
1752813320.604,-10.838,1.558,-0.278
1752813320.673,-10.908,0.984,-0.853
1752813320.743,-10.975,0.378,-1.459
1752813320.811,-11.046,-0.245,-2.081
1752813320.879,-11.111,-0.794,-2.631
1752813320.950,-11.181,-1.531,-3.368
1752813321.017,-11.249,-2.232,-4.069
1752813321.086,-11.318,-2.963,-4.800
1752813321.154,-11.384,-3.625,-5.461
1752813321.224,-11.454,-4.338,-6.175
1752813321.293,-11.520,-5.075,-6.912
1752813321.362,-11.590,-5.884,-7.721
1752813321.431,-11.656,-6.664,-8.501
1752813321.501,-11.726,-7.729,-9.565
1752813321.568,-11.794,-9.191,-11.028
1752813321.637,-11.863,-10.745,-12.582
1752813321.706,-11.929,-12.200,-14.037
1752813321.774,-12.000,-13.723,-15.560
1752813321.842,-12.064,-15.102,-16.939
1752813321.910,-12.134,-16.578,-18.415
1752813321.979,-12.199,-18.005,-19.842
1752813322.047,-12.269,-19.458,-21.294
1752813322.115,-12.334,-20.773,-22.610
1752813322.183,-12.401,-21.445,-23.282
1752813322.251,-12.473,-21.835,-23.672
1752813322.320,-12.535,-23.089,-24.925
1752813322.389,-12.606,-24.641,-26.477
1752813322.458,-12.673,-26.064,-27.901
1752813322.528,-12.741,-27.599,-29.436
1752813322.598,-12.809,-29.099,-30.936
1752813322.666,-12.880,-30.666,-32.503
1752813322.740,-12.945,-32.183,-34.019
1752813322.807,-13.021,-33.747,-35.584
