Test_Time,2025-07-18 00:36:26
Well,G3
Target_Z(mm),-13.000
Step_Size(mm),0.200
Force_Limit(N),40.0
Baseline_Force(N),1.812
Baseline_Std(N),0.003

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752813381.109,-9.501,1.801,-0.011
1752813381.180,-9.530,1.809,-0.002
1752813381.249,-9.609,1.814,0.002
1752813381.320,-9.688,1.809,-0.002
1752813381.391,-9.755,1.809,-0.002
1752813381.461,-9.815,1.812,-0.000
1752813381.530,-9.886,1.807,-0.005
1752813381.597,-9.956,1.706,-0.106
1752813381.666,-10.016,1.251,-0.561
1752813381.735,-10.083,0.594,-1.218
1752813381.804,-10.154,-0.106,-1.918
1752813381.872,-10.221,-0.848,-2.660
1752813381.941,-10.290,-1.537,-3.349
1752813382.010,-10.358,-2.295,-4.107
1752813382.079,-10.429,-3.521,-5.333
1752813382.148,-10.494,-4.994,-6.806
1752813382.218,-10.565,-6.589,-8.401
1752813382.287,-10.633,-8.112,-9.924
1752813382.357,-10.703,-9.733,-11.545
1752813382.428,-10.771,-11.333,-13.144
1752813382.497,-10.844,-12.992,-14.804
1752813382.566,-10.904,-14.395,-16.207
1752813382.636,-10.969,-15.893,-17.705
1752813382.708,-11.044,-17.520,-19.332
1752813382.777,-11.113,-18.808,-20.620
1752813382.845,-11.176,-20.078,-21.890
1752813382.913,-11.250,-21.184,-22.996
1752813382.981,-11.314,-21.578,-23.390
1752813383.049,-11.383,-22.242,-24.054
1752813383.116,-11.448,-23.568,-25.380
1752813383.184,-11.516,-24.964,-26.776
1752813383.252,-11.586,-26.392,-28.204
1752813383.320,-11.649,-27.695,-29.507
1752813383.388,-11.719,-29.147,-30.959
1752813383.458,-11.784,-30.562,-32.374
1752813383.526,-11.854,-32.104,-33.916
1752813383.593,-11.924,-33.716,-35.528
1752813383.661,-11.985,-35.220,-37.032
1752813383.729,-12.056,-36.867,-38.679
1752813383.798,-12.121,-38.388,-40.200
