Test_Time,2025-07-18 01:52:37
Well,C5
Target_Z(mm),-13.000
Step_Size(mm),0.100
Force_Limit(N),40.0
Baseline_Force(N),1.826
Baseline_Std(N),0.004

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752817947.580,-9.501,1.828,0.002
1752817947.650,-9.530,1.828,0.002
1752817947.719,-9.586,1.824,-0.002
1752817947.788,-9.613,1.826,0.000
1752817947.859,-9.643,1.832,0.007
1752817947.928,-9.693,1.826,0.000
1752817947.996,-9.720,1.826,0.000
1752817948.065,-9.750,1.830,0.005
1752817948.133,-9.799,1.834,0.009
1752817948.201,-9.833,1.826,0.000
1752817948.270,-9.859,1.832,0.007
1752817948.338,-9.904,1.834,0.009
1752817948.406,-9.943,1.828,0.002
1752817948.474,-9.970,1.841,0.015
1752817948.541,-10.014,1.828,0.002
1752817948.611,-10.051,1.832,0.007
1752817948.679,-10.081,1.836,0.011
1752817948.747,-10.123,1.830,0.005
1752817948.815,-10.160,1.839,0.013
1752817948.883,-10.193,1.834,0.009
1752817948.951,-10.230,1.834,0.009
1752817949.019,-10.269,1.820,-0.006
1752817949.086,-10.301,1.834,0.009
1752817949.154,-10.341,1.830,0.005
1752817949.222,-10.380,1.828,0.002
1752817949.290,-10.409,1.830,0.005
1752817949.358,-10.446,1.826,0.000
1752817949.426,-10.490,1.824,-0.002
1752817949.493,-10.519,1.830,0.005
1752817949.562,-10.555,1.830,0.005
1752817949.631,-10.599,1.832,0.007
1752817949.700,-10.629,1.822,-0.004
1752817949.769,-10.664,1.824,-0.002
1752817949.839,-10.709,1.826,0.000
1752817949.911,-10.740,1.803,-0.022
1752817949.980,-10.776,1.803,-0.022
1752817950.048,-10.816,1.787,-0.039
1752817950.118,-10.849,1.776,-0.049
1752817950.187,-10.884,1.770,-0.056
1752817950.256,-10.926,1.778,-0.047
1752817950.325,-10.960,1.774,-0.051
1752817950.393,-10.993,1.764,-0.062
1752817950.462,-11.036,1.768,-0.058
1752817950.531,-11.071,1.789,-0.037
1752817950.601,-11.100,1.768,-0.058
1752817950.672,-11.146,1.774,-0.051
1752817950.750,-11.184,1.768,-0.058
1752817950.819,-11.214,1.764,-0.062
1752817950.887,-11.255,1.774,-0.051
1752817950.955,-11.293,1.787,-0.039
1752817951.023,-11.324,1.776,-0.049
1752817951.091,-11.363,1.585,-0.240
1752817951.159,-11.400,1.382,-0.444
1752817951.227,-11.434,1.525,-0.300
1752817951.296,-11.469,1.540,-0.286
1752817951.364,-11.509,1.469,-0.356
1752817951.432,-11.544,1.409,-0.417
1752817951.500,-11.581,1.285,-0.541
1752817951.568,-11.616,1.266,-0.560
1752817951.636,-11.654,1.280,-0.545
1752817951.704,-11.691,1.345,-0.481
1752817951.772,-11.728,1.397,-0.429
1752817951.840,-11.761,1.446,-0.379
1752817951.909,-11.801,1.498,-0.327
1752817951.980,-11.839,1.519,-0.307
1752817952.050,-11.870,1.531,-0.294
1752817952.120,-11.909,1.519,-0.307
1752817952.189,-11.949,1.515,-0.311
1752817952.257,-11.981,1.492,-0.334
1752817952.326,-12.018,1.403,-0.423
1752817952.394,-12.059,1.276,-0.549
1752817952.462,-12.093,1.148,-0.678
1752817952.530,-12.126,1.009,-0.817
1752817952.598,-12.169,0.832,-0.993
1752817952.667,-12.203,0.683,-1.143
1752817952.739,-12.240,0.419,-1.406
1752817952.809,-12.280,0.177,-1.649
1752817952.879,-12.310,0.031,-1.794
1752817952.949,-12.354,-0.261,-2.087
1752817953.019,-12.388,-0.375,-2.201
1752817953.089,-12.423,-0.541,-2.367
1752817953.159,-12.464,-0.743,-2.568
1752817953.229,-12.500,-0.869,-2.695
1752817953.300,-12.533,-0.948,-2.774
1752817953.371,-12.573,-0.983,-2.809
1752817953.439,-12.611,-0.946,-2.772
1752817953.508,-12.640,-0.890,-2.716
1752817953.576,-12.684,-1.180,-3.006
1752817953.647,-12.721,-1.375,-3.201
1752817953.717,-12.754,-1.658,-3.483
1752817953.787,-12.796,-2.068,-3.894
1752817953.857,-12.835,-2.390,-4.216
1752817953.926,-12.864,-2.604,-4.429
1752817953.995,-12.905,-2.859,-4.685
1752817954.065,-12.944,-2.867,-4.693
1752817954.135,-12.976,-2.990,-4.815
1752817954.205,-13.016,-3.253,-5.079
