Test_Time,2025-07-18 01:53:24
Well,D5
Target_Z(mm),-13.000
Step_Size(mm),0.100
Force_Limit(N),40.0
Baseline_Force(N),1.835
Baseline_Std(N),0.002

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752817995.224,-9.501,1.826,-0.009
1752817995.293,-9.529,1.839,0.003
1752817995.361,-9.585,1.834,-0.001
1752817995.430,-9.611,1.830,-0.005
1752817995.500,-9.640,1.832,-0.003
1752817995.569,-9.689,1.836,0.001
1752817995.639,-9.724,1.826,-0.009
1752817995.707,-9.749,1.832,-0.003
1752817995.776,-9.795,1.832,-0.003
1752817995.847,-9.835,1.839,0.003
1752817995.918,-9.864,1.834,-0.001
1752817995.986,-9.905,1.843,0.007
1752817996.055,-9.945,1.832,-0.003
1752817996.123,-9.975,1.830,-0.005
1752817996.190,-10.014,1.839,0.003
1752817996.257,-10.054,1.839,0.003
1752817996.326,-10.085,1.832,-0.003
1752817996.394,-10.121,1.832,-0.003
1752817996.462,-10.161,1.839,0.003
1752817996.529,-10.194,1.828,-0.007
1752817996.597,-10.228,1.834,-0.001
1752817996.666,-10.269,1.841,0.005
1752817996.735,-10.303,1.839,0.003
1752817996.803,-10.340,1.832,-0.003
1752817996.870,-10.376,1.834,-0.001
1752817996.938,-10.411,1.832,-0.003
1752817997.007,-10.450,1.839,0.003
1752817997.076,-10.488,1.830,-0.005
1752817997.146,-10.519,1.832,-0.003
1752817997.216,-10.563,1.841,0.005
1752817997.286,-10.600,1.839,0.003
1752817997.355,-10.629,1.836,0.001
1752817997.424,-10.670,1.832,-0.003
1752817997.494,-10.709,1.836,0.001
1752817997.564,-10.740,1.830,-0.005
1752817997.634,-10.781,1.836,0.001
1752817997.704,-10.821,1.830,-0.005
1752817997.772,-10.849,1.826,-0.009
1752817997.841,-10.888,1.822,-0.013
1752817997.911,-10.928,1.814,-0.022
1752817997.983,-10.959,1.803,-0.032
1752817998.052,-10.999,1.795,-0.040
1752817998.121,-11.039,1.791,-0.044
1752817998.190,-11.073,1.791,-0.044
1752817998.260,-11.110,1.787,-0.049
1752817998.328,-11.146,1.785,-0.051
1752817998.399,-11.183,1.774,-0.061
1752817998.469,-11.224,1.745,-0.090
1752817998.539,-11.256,1.697,-0.138
1752817998.610,-11.291,1.536,-0.300
1752817998.679,-11.335,1.334,-0.501
1752817998.747,-11.369,1.255,-0.580
1752817998.815,-11.401,1.376,-0.459
1752817998.884,-11.441,1.507,-0.329
1752817998.951,-11.481,1.444,-0.391
1752817999.021,-11.509,1.370,-0.466
1752817999.089,-11.548,1.123,-0.712
1752817999.157,-11.588,0.921,-0.914
1752817999.225,-11.616,0.938,-0.897
1752817999.295,-11.659,1.110,-0.725
1752817999.364,-11.699,1.187,-0.648
1752817999.434,-11.730,1.135,-0.700
1752817999.501,-11.771,1.181,-0.654
1752817999.571,-11.806,1.253,-0.582
1752817999.639,-11.840,1.243,-0.592
1752817999.708,-11.883,1.332,-0.503
1752817999.779,-11.919,1.324,-0.511
1752817999.849,-11.950,1.266,-0.569
1752817999.918,-11.991,1.222,-0.613
1752817999.988,-12.029,1.202,-0.634
1752818000.060,-12.064,1.177,-0.659
1752818000.130,-12.104,1.152,-0.683
1752818000.200,-12.138,0.980,-0.856
1752818000.269,-12.171,0.832,-1.003
1752818000.336,-12.214,0.681,-1.154
1752818000.404,-12.248,0.585,-1.250
1752818000.474,-12.279,0.479,-1.356
1752818000.542,-12.323,0.457,-1.379
1752818000.613,-12.358,0.359,-1.476
1752818000.682,-12.394,0.307,-1.528
1752818000.751,-12.434,0.251,-1.584
1752818000.821,-12.470,0.199,-1.636
1752818000.891,-12.504,0.100,-1.735
1752818000.960,-12.541,-0.081,-1.916
1752818001.030,-12.580,-0.301,-2.136
1752818001.099,-12.616,-0.514,-2.350
1752818001.168,-12.650,-0.711,-2.547
1752818001.236,-12.686,-0.958,-2.794
1752818001.305,-12.725,-1.218,-3.053
1752818001.374,-12.761,-1.440,-3.275
1752818001.443,-12.794,-1.643,-3.478
1752818001.511,-12.835,-1.923,-3.758
1752818001.580,-12.871,-2.120,-3.955
1752818001.651,-12.908,-2.409,-4.244
1752818001.721,-12.946,-2.755,-4.590
1752818001.792,-12.979,-3.083,-4.918
1752818001.862,-13.020,-3.542,-5.377
