Test_Time,2025-07-18 02:15:01
Well,A5
Target_Z(mm),-13.000
Step_Size(mm),0.100
Force_Limit(N),35.0
Baseline_Force(N),1.831
Baseline_Std(N),0.002

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752819292.329,-9.501,1.834,0.003
1752819292.398,-9.530,1.830,-0.001
1752819292.468,-9.586,1.828,-0.003
1752819292.538,-9.614,1.834,0.003
1752819292.608,-9.638,1.832,0.001
1752819292.679,-9.686,1.836,0.005
1752819292.747,-9.726,1.839,0.007
1752819292.818,-9.740,1.832,0.001
1752819292.890,-9.780,1.830,-0.001
1752819292.958,-9.830,1.839,0.007
1752819293.027,-9.850,1.832,0.001
1752819293.096,-9.888,1.832,0.001
1752819293.164,-9.934,1.839,0.007
1752819293.232,-9.961,1.832,0.001
1752819293.300,-9.999,1.830,-0.001
1752819293.368,-10.039,1.826,-0.005
1752819293.437,-10.074,1.828,-0.003
1752819293.507,-10.109,1.830,-0.001
1752819293.576,-10.146,1.830,-0.001
1752819293.648,-10.184,1.830,-0.001
1752819293.717,-10.223,1.839,0.007
1752819293.787,-10.256,1.832,0.001
1752819293.856,-10.293,1.832,0.001
1752819293.925,-10.333,1.834,0.003
1752819293.996,-10.369,1.839,0.007
1752819294.066,-10.403,1.836,0.005
1752819294.135,-10.441,1.828,-0.003
1752819294.206,-10.479,1.822,-0.010
1752819294.277,-10.516,1.836,0.005
1752819294.349,-10.553,1.836,0.005
1752819294.418,-10.589,1.828,-0.003
1752819294.486,-10.630,1.834,0.003
1752819294.555,-10.660,1.828,-0.003
1752819294.623,-10.701,1.822,-0.010
1752819294.691,-10.741,1.814,-0.018
1752819294.759,-10.773,1.799,-0.032
1752819294.827,-10.811,1.776,-0.055
1752819294.895,-10.851,1.774,-0.057
1752819294.964,-10.884,1.770,-0.061
1752819295.035,-10.920,1.756,-0.076
1752819295.105,-10.964,1.768,-0.063
1752819295.174,-10.998,1.756,-0.076
1752819295.244,-11.031,1.745,-0.086
1752819295.313,-11.073,1.758,-0.074
1752819295.381,-11.108,1.766,-0.066
1752819295.451,-11.144,1.776,-0.055
1752819295.520,-11.181,1.785,-0.047
1752819295.589,-11.220,1.791,-0.041
1752819295.659,-11.253,1.780,-0.051
1752819295.730,-11.294,1.768,-0.063
1752819295.798,-11.334,1.689,-0.142
1752819295.865,-11.361,1.365,-0.466
1752819295.933,-11.400,1.143,-0.688
1752819296.000,-11.440,1.426,-0.406
1752819296.067,-11.469,1.490,-0.342
1752819296.135,-11.510,1.436,-0.395
1752819296.203,-11.549,1.146,-0.686
1752819296.271,-11.579,0.938,-0.893
1752819296.338,-11.618,1.106,-0.725
1752819296.406,-11.656,1.318,-0.514
1752819296.474,-11.688,1.280,-0.551
1752819296.541,-11.724,1.231,-0.601
1752819296.609,-11.763,1.355,-0.476
1752819296.677,-11.796,1.436,-0.395
1752819296.745,-11.835,1.500,-0.331
1752819296.814,-11.874,1.540,-0.292
1752819296.884,-11.910,1.567,-0.265
1752819296.954,-11.946,1.590,-0.242
1752819297.025,-11.983,1.594,-0.238
1752819297.096,-12.023,1.534,-0.298
1752819297.164,-12.055,1.517,-0.315
1752819297.233,-12.089,1.494,-0.337
1752819297.301,-12.131,1.434,-0.398
1752819297.369,-12.164,1.235,-0.597
1752819297.436,-12.195,0.975,-0.856
1752819297.504,-12.238,0.722,-1.109
1752819297.572,-12.271,0.658,-1.174
1752819297.640,-12.305,0.583,-1.248
1752819297.707,-12.348,0.558,-1.273
1752819297.777,-12.383,0.616,-1.215
1752819297.845,-12.414,0.662,-1.169
1752819297.913,-12.453,0.575,-1.257
1752819297.981,-12.494,0.560,-1.271
1752819298.049,-12.526,0.444,-1.387
1752819298.117,-12.563,0.475,-1.356
1752819298.184,-12.604,0.486,-1.346
1752819298.252,-12.636,0.407,-1.425
1752819298.320,-12.670,0.370,-1.462
1752819298.389,-12.713,0.266,-1.566
1752819298.457,-12.746,-0.016,-1.848
1752819298.526,-12.778,-0.334,-2.165
1752819298.596,-12.821,-0.433,-2.265
1752819298.665,-12.856,-0.514,-2.346
1752819298.734,-12.891,-0.749,-2.580
1752819298.805,-12.931,-0.969,-2.800
1752819298.875,-12.970,-1.118,-2.950
1752819298.945,-13.001,-1.346,-3.178
