Test_Time,2025-07-18 02:28:14
Well,F4
Target_Z(mm),-13.000
Step_Size(mm),0.100
Force_Limit(N),30.0
Baseline_Force(N),1.813
Baseline_Std(N),0.004

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752820084.438,-9.501,1.807,-0.006
1752820084.508,-9.530,1.818,0.005
1752820084.579,-9.586,1.822,0.009
1752820084.649,-9.610,1.818,0.005
1752820084.719,-9.644,1.816,0.002
1752820084.787,-9.691,1.814,0.000
1752820084.856,-9.724,1.807,-0.006
1752820084.925,-9.755,1.818,0.005
1752820084.994,-9.799,1.816,0.002
1752820085.063,-9.833,1.816,0.002
1752820085.133,-9.861,1.818,0.005
1752820085.201,-9.908,1.816,0.002
1752820085.271,-9.943,1.818,0.005
1752820085.340,-9.975,1.816,0.002
1752820085.410,-10.018,1.816,0.002
1752820085.479,-10.055,1.818,0.005
1752820085.548,-10.084,1.816,0.002
1752820085.618,-10.124,1.822,0.009
1752820085.686,-10.163,1.818,0.005
1752820085.754,-10.194,1.812,-0.002
1752820085.822,-10.231,1.778,-0.035
1752820085.891,-10.270,1.704,-0.110
1752820085.960,-10.304,1.662,-0.151
1752820086.028,-10.339,1.619,-0.195
1752820086.096,-10.379,1.581,-0.232
1752820086.164,-10.414,1.544,-0.269
1752820086.233,-10.451,1.521,-0.292
1752820086.301,-10.488,1.531,-0.282
1752820086.370,-10.525,1.540,-0.273
1752820086.438,-10.564,1.536,-0.278
1752820086.506,-10.595,1.531,-0.282
1752820086.575,-10.635,1.569,-0.244
1752820086.645,-10.675,1.583,-0.230
1752820086.713,-10.703,1.575,-0.238
1752820086.781,-10.741,1.567,-0.246
1752820086.850,-10.785,1.556,-0.257
1752820086.919,-10.814,1.504,-0.309
1752820086.988,-10.853,1.473,-0.340
1752820087.059,-10.896,1.507,-0.307
1752820087.129,-10.928,1.521,-0.292
1752820087.200,-10.966,1.517,-0.296
1752820087.270,-11.006,1.556,-0.257
1752820087.339,-11.040,1.619,-0.195
1752820087.409,-11.076,1.673,-0.141
1752820087.479,-11.119,1.668,-0.145
1752820087.548,-11.148,1.656,-0.157
1752820087.618,-11.190,1.569,-0.244
1752820087.686,-11.226,1.388,-0.425
1752820087.754,-11.258,1.067,-0.747
1752820087.821,-11.296,0.658,-1.155
1752820087.889,-11.334,0.357,-1.456
1752820087.957,-11.366,0.554,-1.259
1752820088.026,-11.403,0.716,-1.097
1752820088.094,-11.441,0.643,-1.170
1752820088.162,-11.475,0.430,-1.384
1752820088.230,-11.514,0.417,-1.396
1752820088.298,-11.554,0.594,-1.220
1752820088.366,-11.589,0.693,-1.120
1752820088.435,-11.624,0.764,-1.049
1752820088.504,-11.665,0.768,-1.045
1752820088.572,-11.701,0.623,-1.191
1752820088.642,-11.733,0.419,-1.394
1752820088.712,-11.773,0.098,-1.715
1752820088.780,-11.810,-0.189,-2.002
1752820088.850,-11.844,-0.552,-2.365
1752820088.921,-11.881,-0.983,-2.796
1752820088.990,-11.923,-1.425,-3.238
1752820089.060,-11.951,-1.736,-3.550
1752820089.129,-11.995,-2.311,-4.124
1752820089.197,-12.030,-2.697,-4.510
1752820089.264,-12.061,-3.120,-4.934
1752820089.332,-12.101,-3.656,-5.469
1752820089.401,-12.141,-4.172,-5.985
1752820089.468,-12.174,-4.631,-6.444
1752820089.536,-12.211,-5.191,-7.004
1752820089.604,-12.251,-5.706,-7.519
1752820089.672,-12.285,-6.160,-7.973
1752820089.740,-12.319,-6.666,-8.479
1752820089.807,-12.360,-7.264,-9.077
1752820089.875,-12.395,-7.714,-9.527
1752820089.943,-12.431,-8.272,-10.085
1752820090.012,-12.468,-8.839,-10.652
1752820090.080,-12.505,-9.368,-11.181
1752820090.148,-12.543,-9.934,-11.747
1752820090.218,-12.575,-10.322,-12.135
1752820090.286,-12.616,-10.901,-12.714
1752820090.355,-12.654,-11.386,-13.200
1752820090.423,-12.683,-11.816,-13.629
1752820090.492,-12.726,-12.497,-14.310
1752820090.561,-12.764,-12.961,-14.774
1752820090.630,-12.795,-13.470,-15.283
1752820090.698,-12.836,-14.140,-15.953
1752820090.768,-12.874,-14.683,-16.497
1752820090.836,-12.909,-15.179,-16.992
1752820090.904,-12.946,-15.785,-17.598
1752820090.972,-12.985,-16.389,-18.202
1752820091.040,-13.015,-16.818,-18.632
