Test_Time,2025-07-18 02:48:38
Well,A5
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),30.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.812
Baseline_Std(N),0.001
Contact_Detected,True
Contact_Z(mm),-13.533
Force_Limit_Exceeded,False
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752821305.340,-9.501,1.812,-0.001
1752821305.407,-9.529,1.812,-0.001
1752821305.476,-9.584,1.814,0.001
1752821305.545,-9.611,1.807,-0.005
1752821305.614,-9.639,1.816,0.003
1752821305.683,-9.688,1.816,0.003
1752821305.751,-9.723,1.812,-0.001
1752821305.820,-9.746,1.816,0.003
1752821305.889,-9.791,1.820,0.007
1752821305.958,-9.833,1.816,0.003
1752821306.026,-9.858,1.814,0.001
1752821306.094,-9.896,1.809,-0.003
1752821306.164,-9.941,1.814,0.001
1752821306.232,-9.968,1.805,-0.007
1752821306.301,-10.006,1.816,0.003
1752821306.370,-10.050,1.814,0.001
1752821306.441,-10.078,1.812,-0.001
1752821306.510,-10.118,1.812,-0.001
1752821306.578,-10.156,1.814,0.001
1752821306.646,-10.186,1.820,0.007
1752821306.715,-10.224,1.807,-0.005
1752821306.783,-10.264,1.818,0.005
1752821306.852,-10.295,1.820,0.007
1752821306.922,-10.331,1.820,0.007
1752821306.990,-10.373,1.814,0.001
1752821307.061,-10.405,1.814,0.001
1752821307.130,-10.440,1.814,0.001
1752821307.199,-10.484,1.793,-0.020
1752821307.268,-10.518,1.768,-0.044
1752821307.337,-10.550,1.749,-0.063
1752821307.405,-10.590,1.722,-0.090
1752821307.474,-10.625,1.710,-0.102
1752821307.544,-10.661,1.699,-0.113
1752821307.613,-10.698,1.691,-0.121
1752821307.682,-10.735,1.677,-0.136
1752821307.751,-10.774,1.664,-0.148
1752821307.823,-10.806,1.652,-0.161
1752821307.891,-10.844,1.637,-0.175
1752821307.959,-10.884,1.643,-0.169
1752821308.027,-10.918,1.641,-0.171
1752821308.094,-10.951,1.646,-0.167
1752821308.162,-10.993,1.641,-0.171
1752821308.230,-11.026,1.646,-0.167
1752821308.298,-11.063,1.658,-0.154
1752821308.366,-11.099,1.673,-0.140
1752821308.435,-11.135,1.704,-0.109
1752821308.505,-11.174,1.726,-0.086
1752821308.573,-11.206,1.731,-0.082
1752821308.640,-11.245,1.731,-0.082
1752821308.708,-11.284,1.729,-0.084
1752821308.776,-11.319,1.652,-0.161
1752821308.845,-11.354,1.428,-0.385
1752821308.913,-11.394,1.065,-0.748
1752821308.981,-11.430,1.162,-0.650
1752821309.049,-11.461,1.210,-0.603
1752821309.117,-11.504,1.168,-0.644
1752821309.185,-11.540,1.025,-0.787
1752821309.253,-11.574,0.961,-0.852
1752821309.321,-11.611,1.075,-0.737
1752821309.389,-11.649,1.183,-0.630
1752821309.457,-11.685,1.231,-0.582
1752821309.526,-11.719,1.276,-0.536
1752821309.596,-11.759,1.336,-0.476
1752821309.665,-11.796,1.392,-0.420
1752821309.733,-11.826,1.430,-0.383
1752821309.804,-11.870,1.498,-0.314
1752821309.872,-11.909,1.567,-0.246
1752821309.940,-11.934,1.556,-0.256
1752821310.007,-11.975,1.581,-0.231
1752821310.076,-12.020,1.627,-0.185
1752821310.144,-12.040,1.612,-0.200
1752821310.212,-12.083,1.621,-0.192
1752821310.280,-12.128,1.654,-0.159
1752821310.349,-12.148,1.637,-0.175
1752821310.419,-12.193,1.631,-0.181
1752821310.487,-12.235,1.558,-0.254
1752821310.557,-12.256,1.390,-0.422
1752821310.626,-12.301,1.081,-0.731
1752821310.694,-12.343,0.886,-0.926
1752821310.762,-12.365,0.758,-1.055
1752821310.833,-12.411,0.685,-1.127
1752821310.901,-12.450,0.689,-1.123
1752821310.969,-12.474,0.635,-1.177
1752821311.038,-12.519,0.685,-1.127
1752821311.106,-12.560,0.708,-1.105
1752821311.175,-12.585,0.654,-1.159
1752821311.243,-12.625,0.614,-1.198
1752821311.312,-12.666,0.612,-1.200
1752821311.380,-12.693,0.596,-1.217
1752821311.449,-12.731,0.560,-1.252
1752821311.519,-12.773,0.571,-1.242
1752821311.588,-12.801,0.519,-1.293
1752821311.657,-12.840,0.548,-1.264
1752821311.725,-12.881,0.562,-1.250
1752821311.794,-12.911,0.498,-1.314
1752821311.864,-12.949,0.405,-1.408
1752821311.932,-12.991,0.409,-1.403
1752821312.002,-13.023,0.405,-1.408
1752821312.070,-13.059,0.326,-1.486
1752821312.139,-13.101,0.287,-1.526
1752821312.207,-13.134,0.268,-1.545
1752821312.277,-13.168,0.187,-1.625
1752821312.345,-13.213,0.123,-1.690
1752821312.412,-13.245,0.143,-1.669
1752821312.481,-13.275,0.118,-1.694
1752821312.550,-13.321,0.058,-1.754
1752821312.620,-13.355,0.112,-1.700
1752821312.688,-13.383,0.100,-1.713
1752821312.756,-13.425,-0.021,-1.833
1752821312.824,-13.469,-0.043,-1.856
1752821312.892,-13.490,-0.014,-1.827
1752821312.961,-13.533,-0.230,-2.042
1752821313.032,-13.575,-0.220,-2.032
1752821313.100,-13.599,-0.197,-2.009
1752821313.168,-13.641,-0.398,-2.211
1752821313.239,-13.683,-0.394,-2.206
1752821313.310,-13.709,-0.390,-2.202
1752821313.379,-13.754,-0.541,-2.354
1752821313.449,-13.793,-0.541,-2.354
1752821313.520,-13.821,-0.577,-2.389
1752821313.595,-13.861,-0.664,-2.476
1752821313.668,-13.906,-0.682,-2.495
1752821313.738,-13.931,-0.655,-2.468
1752821313.806,-13.974,-0.848,-2.661
1752821313.874,-14.015,-0.873,-2.686
1752821313.944,-14.041,-0.855,-2.667
1752821314.013,-14.084,-0.985,-2.798
1752821314.084,-14.125,-1.006,-2.818
1752821314.153,-14.154,-1.002,-2.814
1752821314.223,-14.190,-1.106,-2.918
1752821314.292,-14.234,-1.189,-3.001
1752821314.361,-14.264,-1.197,-3.009
1752821314.431,-14.299,-1.301,-3.113
1752821314.499,-14.344,-1.421,-3.233
1752821314.567,-14.374,-1.411,-3.223
1752821314.635,-14.408,-1.500,-3.312
1752821314.705,-14.451,-1.637,-3.449
1752821314.773,-14.484,-1.612,-3.424
1752821314.841,-14.515,-1.678,-3.491
1752821314.911,-14.560,-1.836,-3.648
1752821314.979,-14.594,-1.819,-3.632
1752821315.049,-14.623,-1.838,-3.650
1752821315.118,-14.669,-2.060,-3.872
1752821315.187,-14.704,-2.039,-3.852
1752821315.255,-14.736,-2.114,-3.926
1752821315.324,-14.779,-2.236,-4.049
1752821315.392,-14.815,-2.228,-4.041
1752821315.460,-14.844,-2.239,-4.051
1752821315.529,-14.888,-2.452,-4.265
1752821315.598,-14.925,-2.465,-4.277
