Test_Time,2025-07-18 02:47:08
Well,A6
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),30.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.839
Baseline_Std(N),0.003
Contact_Detected,True
Contact_Z(mm),-11.344
Force_Limit_Exceeded,True
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752821216.833,-9.501,1.841,0.002
1752821216.903,-9.531,1.836,-0.002
1752821216.973,-9.587,1.841,0.002
1752821217.042,-9.614,1.834,-0.005
1752821217.113,-9.639,1.843,0.004
1752821217.183,-9.689,1.839,-0.000
1752821217.253,-9.728,1.832,-0.007
1752821217.323,-9.748,1.841,0.002
1752821217.392,-9.797,1.832,-0.007
1752821217.464,-9.835,1.839,-0.000
1752821217.534,-9.859,1.836,-0.002
1752821217.603,-9.904,1.841,0.002
1752821217.672,-9.945,1.843,0.004
1752821217.741,-9.971,1.839,-0.000
1752821217.810,-10.011,1.839,-0.000
1752821217.881,-10.053,1.834,-0.005
1752821217.951,-10.081,1.843,0.004
1752821218.021,-10.121,1.845,0.006
1752821218.091,-10.164,1.836,-0.002
1752821218.160,-10.195,1.836,-0.002
1752821218.230,-10.234,1.836,-0.002
1752821218.300,-10.271,1.836,-0.002
1752821218.369,-10.306,1.841,0.002
1752821218.438,-10.348,1.834,-0.005
1752821218.508,-10.380,1.839,-0.000
1752821218.578,-10.420,1.841,0.002
1752821218.648,-10.458,1.843,0.004
1752821218.716,-10.493,1.839,-0.000
1752821218.785,-10.529,1.845,0.006
1752821218.852,-10.568,1.843,0.004
1752821218.923,-10.604,1.839,-0.000
1752821218.994,-10.639,1.843,0.004
1752821219.063,-10.675,1.841,0.002
1752821219.133,-10.715,1.843,0.004
1752821219.201,-10.751,1.845,0.006
1752821219.270,-10.784,1.841,0.002
1752821219.340,-10.828,1.797,-0.042
1752821219.410,-10.865,1.764,-0.075
1752821219.481,-10.894,1.718,-0.121
1752821219.550,-10.938,1.633,-0.206
1752821219.620,-10.975,1.567,-0.272
1752821219.688,-11.006,1.455,-0.384
1752821219.759,-11.048,1.320,-0.519
1752821219.829,-11.088,1.206,-0.633
1752821219.900,-11.115,1.087,-0.752
1752821219.973,-11.158,0.841,-0.998
1752821220.043,-11.200,0.679,-1.160
1752821220.114,-11.230,0.504,-1.335
1752821220.185,-11.273,0.216,-1.623
1752821220.254,-11.310,0.033,-1.806
1752821220.324,-11.344,-0.214,-2.052
1752821220.394,-11.384,-0.514,-2.353
1752821220.463,-11.423,-0.753,-2.592
1752821220.532,-11.453,-0.960,-2.799
1752821220.601,-11.491,-1.288,-3.127
1752821220.671,-11.531,-1.564,-3.403
1752821220.741,-11.564,-1.813,-3.652
1752821220.812,-11.601,-2.126,-3.965
1752821220.881,-11.645,-2.438,-4.277
1752821220.951,-11.671,-2.622,-4.461
1752821221.022,-11.710,-3.033,-4.872
1752821221.091,-11.754,-3.376,-5.214
1752821221.159,-11.781,-3.620,-5.459
1752821221.227,-11.819,-4.029,-5.868
1752821221.297,-11.861,-4.392,-6.231
1752821221.367,-11.893,-4.647,-6.486
1752821221.435,-11.929,-5.037,-6.876
1752821221.505,-11.973,-5.488,-7.327
1752821221.576,-12.005,-5.801,-7.640
1752821221.647,-12.041,-6.195,-8.034
1752821221.717,-12.083,-6.627,-8.466
1752821221.787,-12.118,-6.998,-8.837
1752821221.856,-12.151,-7.376,-9.215
1752821221.926,-12.190,-7.839,-9.677
1752821221.994,-12.226,-8.241,-10.080
1752821222.069,-12.263,-8.691,-10.530
1752821222.143,-12.303,-9.121,-10.960
1752821222.219,-12.339,-9.548,-11.387
1752821222.288,-12.378,-10.009,-11.848
1752821222.357,-12.414,-10.449,-12.288
1752821222.426,-12.448,-10.849,-12.688
1752821222.495,-12.489,-11.401,-13.240
1752821222.564,-12.526,-11.853,-13.692
1752821222.633,-12.556,-12.210,-14.049
1752821222.701,-12.599,-12.822,-14.661
1752821222.771,-12.638,-13.239,-15.078
1752821222.841,-12.671,-13.694,-15.533
1752821222.910,-12.711,-14.241,-16.080
1752821222.978,-12.750,-14.760,-16.599
1752821223.047,-12.780,-15.146,-16.985
1752821223.116,-12.824,-15.775,-17.614
1752821223.185,-12.863,-16.254,-18.093
1752821223.254,-12.888,-16.553,-18.392
1752821223.323,-12.930,-17.227,-19.066
1752821223.392,-12.973,-17.692,-19.531
1752821223.461,-13.000,-18.024,-19.863
1752821223.531,-13.043,-18.684,-20.523
1752821223.600,-13.084,-19.113,-20.952
1752821223.671,-13.114,-19.462,-21.301
1752821223.741,-13.158,-20.088,-21.927
1752821223.812,-13.193,-20.344,-22.182
1752821223.879,-13.226,-20.445,-22.284
1752821223.949,-13.266,-20.507,-22.346
1752821224.019,-13.304,-20.707,-22.546
1752821224.090,-13.341,-21.300,-23.139
1752821224.159,-13.378,-21.763,-23.602
1752821224.228,-13.413,-22.306,-24.145
1752821224.297,-13.454,-22.914,-24.753
1752821224.366,-13.491,-23.435,-25.274
1752821224.436,-13.523,-23.873,-25.712
1752821224.506,-13.561,-24.537,-26.376
1752821224.576,-13.601,-25.080,-26.919
1752821224.646,-13.636,-25.574,-27.413
1752821224.716,-13.673,-26.192,-28.031
1752821224.786,-13.715,-26.827,-28.666
1752821224.857,-13.745,-27.278,-29.117
1752821224.927,-13.781,-27.863,-29.702
1752821224.998,-13.826,-28.564,-30.403
