Test_Time,2025-07-18 02:47:24
Well,B6
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),30.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.824
Baseline_Std(N),0.004
Contact_Detected,True
Contact_Z(mm),-10.819
Force_Limit_Exceeded,True
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752821234.189,-9.501,1.818,-0.006
1752821234.258,-9.530,1.824,0.000
1752821234.327,-9.586,1.818,-0.006
1752821234.397,-9.613,1.830,0.006
1752821234.466,-9.643,1.820,-0.004
1752821234.535,-9.691,1.826,0.002
1752821234.605,-9.726,1.822,-0.002
1752821234.675,-9.754,1.824,0.000
1752821234.744,-9.800,1.818,-0.006
1752821234.812,-9.835,1.824,0.000
1752821234.880,-9.866,1.826,0.002
1752821234.947,-9.908,1.826,0.002
1752821235.016,-9.943,1.824,0.000
1752821235.084,-9.978,1.822,-0.002
1752821235.152,-10.015,1.814,-0.010
1752821235.220,-10.051,1.826,0.002
1752821235.288,-10.087,1.826,0.002
1752821235.356,-10.127,1.814,-0.010
1752821235.424,-10.164,1.791,-0.033
1752821235.492,-10.196,1.747,-0.077
1752821235.561,-10.239,1.704,-0.120
1752821235.628,-10.275,1.658,-0.166
1752821235.695,-10.303,1.610,-0.214
1752821235.763,-10.346,1.498,-0.326
1752821235.831,-10.383,1.440,-0.384
1752821235.899,-10.413,1.368,-0.456
1752821235.968,-10.453,1.226,-0.598
1752821236.036,-10.490,1.127,-0.697
1752821236.104,-10.523,1.000,-0.824
1752821236.172,-10.560,0.849,-0.975
1752821236.241,-10.598,0.722,-1.102
1752821236.308,-10.633,0.598,-1.226
1752821236.376,-10.673,0.415,-1.409
1752821236.455,-10.710,0.280,-1.544
1752821236.523,-10.746,0.139,-1.685
1752821236.591,-10.779,-0.004,-1.828
1752821236.659,-10.819,-0.214,-2.037
1752821236.729,-10.856,-0.384,-2.208
1752821236.796,-10.891,-0.599,-2.423
1752821236.864,-10.926,-0.821,-2.645
1752821236.932,-10.966,-1.046,-2.869
1752821237.000,-11.003,-1.257,-3.081
1752821237.068,-11.039,-1.519,-3.343
1752821237.136,-11.074,-1.763,-3.587
1752821237.204,-11.113,-2.070,-3.894
1752821237.273,-11.150,-2.375,-4.199
1752821237.343,-11.181,-2.637,-4.461
1752821237.411,-11.224,-3.091,-4.915
1752821237.479,-11.261,-3.411,-5.235
1752821237.547,-11.288,-3.643,-5.467
1752821237.615,-11.328,-4.154,-5.978
1752821237.683,-11.370,-4.546,-6.370
1752821237.751,-11.398,-4.853,-6.677
1752821237.819,-11.436,-5.363,-7.187
1752821237.887,-11.478,-5.797,-7.621
1752821237.955,-11.506,-6.096,-7.920
1752821238.023,-11.544,-6.598,-8.422
1752821238.091,-11.585,-7.083,-8.907
1752821238.162,-11.615,-7.432,-9.256
1752821238.230,-11.653,-7.936,-9.760
1752821238.298,-11.694,-8.455,-10.279
1752821238.366,-11.725,-8.845,-10.669
1752821238.434,-11.760,-9.320,-11.144
1752821238.502,-11.801,-9.888,-11.712
1752821238.570,-11.834,-10.272,-12.096
1752821238.638,-11.866,-10.708,-12.532
1752821238.712,-11.909,-11.318,-13.142
1752821238.782,-11.946,-11.725,-13.549
1752821238.850,-11.976,-12.129,-13.953
1752821238.919,-12.016,-12.741,-14.565
1752821238.988,-12.054,-13.227,-15.051
1752821239.062,-12.090,-13.752,-15.576
1752821239.152,-12.129,-14.449,-16.273
1752821239.223,-12.175,-14.907,-16.731
1752821239.293,-12.203,-15.310,-17.134
1752821239.362,-12.238,-15.868,-17.692
1752821239.431,-12.283,-16.551,-18.375
1752821239.501,-12.313,-16.926,-18.750
1752821239.570,-12.346,-17.472,-19.296
1752821239.640,-12.393,-18.175,-19.999
1752821239.711,-12.424,-18.657,-20.481
1752821239.781,-12.458,-19.115,-20.939
1752821239.851,-12.501,-19.752,-21.576
1752821239.920,-12.534,-20.186,-22.010
1752821239.989,-12.565,-20.593,-22.416
1752821240.057,-12.611,-21.213,-23.037
1752821240.128,-12.644,-21.368,-23.192
1752821240.198,-12.674,-21.418,-23.242
1752821240.267,-12.718,-21.661,-23.485
1752821240.337,-12.756,-21.792,-23.616
1752821240.407,-12.783,-22.188,-24.012
1752821240.474,-12.826,-23.028,-24.852
1752821240.544,-12.864,-23.572,-25.396
1752821240.613,-12.893,-24.076,-25.900
1752821240.683,-12.935,-24.840,-26.664
1752821240.753,-12.974,-25.412,-27.236
1752821240.823,-13.006,-25.970,-27.794
1752821240.893,-13.048,-26.707,-28.531
1752821240.963,-13.088,-27.375,-29.199
1752821241.033,-13.116,-27.881,-29.705
1752821241.102,-13.156,-28.657,-30.481
