Test_Time,2025-07-18 02:49:38
Well,D7
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),30.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.819
Baseline_Std(N),0.005
Contact_Detected,True
Contact_Z(mm),-12.553
Force_Limit_Exceeded,True
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752821365.171,-9.501,1.818,-0.001
1752821365.239,-9.529,1.818,-0.001
1752821365.308,-9.585,1.814,-0.005
1752821365.377,-9.611,1.812,-0.007
1752821365.445,-9.640,1.818,-0.001
1752821365.513,-9.688,1.820,0.001
1752821365.582,-9.721,1.816,-0.003
1752821365.649,-9.748,1.824,0.005
1752821365.717,-9.790,1.816,-0.003
1752821365.786,-9.834,1.820,0.001
1752821365.856,-9.855,1.818,-0.001
1752821365.923,-9.899,1.820,0.001
1752821365.991,-9.939,1.824,0.005
1752821366.060,-9.961,1.816,-0.003
1752821366.128,-10.005,1.818,-0.001
1752821366.196,-10.047,1.820,0.001
1752821366.263,-10.071,1.818,-0.001
1752821366.331,-10.114,1.818,-0.001
1752821366.398,-10.154,1.814,-0.005
1752821366.466,-10.179,1.818,-0.001
1752821366.534,-10.220,1.816,-0.003
1752821366.602,-10.263,1.816,-0.003
1752821366.670,-10.289,1.820,0.001
1752821366.738,-10.330,1.820,0.001
1752821366.807,-10.371,1.820,0.001
1752821366.878,-10.399,1.814,-0.005
1752821366.946,-10.441,1.820,0.001
1752821367.015,-10.481,1.820,0.001
1752821367.085,-10.510,1.818,-0.001
1752821367.156,-10.551,1.820,0.001
1752821367.224,-10.594,1.826,0.007
1752821367.295,-10.618,1.822,0.003
1752821367.364,-10.659,1.824,0.005
1752821367.434,-10.701,1.818,-0.001
1752821367.503,-10.728,1.816,-0.003
1752821367.570,-10.769,1.812,-0.007
1752821367.638,-10.809,1.822,0.003
1752821367.706,-10.836,1.822,0.003
1752821367.773,-10.875,1.820,0.001
1752821367.842,-10.915,1.818,-0.001
1752821367.912,-10.945,1.818,-0.001
1752821367.980,-10.983,1.826,0.007
1752821368.048,-11.024,1.824,0.005
1752821368.116,-11.054,1.818,-0.001
1752821368.186,-11.090,1.814,-0.005
1752821368.253,-11.133,1.818,-0.001
1752821368.321,-11.163,1.814,-0.005
1752821368.389,-11.196,1.820,0.001
