Test_Time,2025-07-18 02:51:16
Well,F3
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),30.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.824
Baseline_Std(N),0.005
Contact_Detected,True
Contact_Z(mm),-12.603
Force_Limit_Exceeded,False
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752821463.406,-9.501,1.816,-0.008
1752821463.475,-9.529,1.824,0.000
1752821463.543,-9.585,1.828,0.005
1752821463.612,-9.611,1.822,-0.002
1752821463.680,-9.639,1.818,-0.006
1752821463.749,-9.686,1.834,0.011
1752821463.819,-9.721,1.826,0.002
1752821463.887,-9.752,1.824,0.000
1752821463.955,-9.796,1.828,0.005
1752821464.024,-9.831,1.828,0.005
1752821464.092,-9.860,1.824,0.000
1752821464.161,-9.901,1.832,0.009
1752821464.231,-9.943,1.824,0.000
1752821464.299,-9.974,1.828,0.005
1752821464.367,-10.013,1.832,0.009
1752821464.435,-10.053,1.830,0.007
1752821464.503,-10.085,1.828,0.005
1752821464.571,-10.121,1.830,0.007
1752821464.639,-10.163,1.826,0.002
1752821464.707,-10.195,1.826,0.002
1752821464.776,-10.229,1.824,0.000
1752821464.843,-10.271,1.812,-0.012
1752821464.911,-10.304,1.789,-0.035
1752821464.979,-10.335,1.743,-0.081
1752821465.047,-10.379,1.714,-0.110
1752821465.116,-10.411,1.697,-0.126
1752821465.184,-10.446,1.677,-0.147
1752821465.252,-10.485,1.673,-0.151
1752821465.320,-10.520,1.666,-0.157
1752821465.389,-10.558,1.670,-0.153
1752821465.458,-10.593,1.660,-0.163
1752821465.527,-10.630,1.658,-0.166
1752821465.596,-10.670,1.652,-0.172
1752821465.666,-10.700,1.641,-0.182
1752821465.735,-10.743,1.656,-0.168
1752821465.804,-10.783,1.650,-0.174
1752821465.876,-10.808,1.660,-0.163
1752821465.946,-10.851,1.666,-0.157
1752821466.017,-10.891,1.643,-0.180
1752821466.087,-10.920,1.633,-0.190
1752821466.171,-10.959,1.643,-0.180
1752821466.239,-11.008,1.697,-0.126
1752821466.307,-11.031,1.720,-0.103
1752821466.375,-11.065,1.695,-0.128
1752821466.443,-11.111,1.646,-0.178
1752821466.514,-11.143,1.343,-0.481
1752821466.582,-11.176,0.845,-0.979
1752821466.650,-11.218,0.726,-1.097
1752821466.718,-11.250,1.235,-0.589
1752821466.786,-11.288,1.175,-0.649
1752821466.854,-11.324,1.137,-0.686
1752821466.922,-11.359,0.988,-0.836
1752821466.989,-11.398,0.892,-0.931
1752821467.057,-11.434,0.934,-0.890
1752821467.125,-11.471,0.957,-0.867
1752821467.193,-11.505,1.116,-0.707
1752821467.261,-11.544,1.309,-0.514
