Test_Time,2025-07-18 03:00:55
Well,C5
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),25.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.814
Baseline_Std(N),0.003
Contact_Detected,True
Contact_Z(mm),-12.831
Force_Limit_Exceeded,False
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752822042.472,-9.501,1.816,0.002
1752822042.542,-9.530,1.816,0.002
1752822042.610,-9.586,1.814,-0.000
1752822042.678,-9.613,1.816,0.002
1752822042.747,-9.641,1.812,-0.002
1752822042.818,-9.690,1.814,-0.000
1752822042.890,-9.725,1.812,-0.002
1752822042.959,-9.752,1.814,-0.000
1752822043.026,-9.799,1.814,-0.000
1752822043.096,-9.834,1.809,-0.005
1752822043.165,-9.865,1.816,0.002
1752822043.232,-9.908,1.816,0.002
1752822043.300,-9.943,1.805,-0.009
1752822043.367,-9.976,1.820,0.006
1752822043.436,-10.014,1.812,-0.002
1752822043.504,-10.051,1.812,-0.002
1752822043.572,-10.087,1.812,-0.002
1752822043.642,-10.121,1.809,-0.005
1752822043.710,-10.161,1.818,0.004
1752822043.778,-10.199,1.818,0.004
1752822043.846,-10.228,1.814,-0.000
1752822043.913,-10.270,1.812,-0.002
1752822043.981,-10.308,1.818,0.004
1752822044.049,-10.338,1.809,-0.005
1752822044.118,-10.378,1.812,-0.002
1752822044.186,-10.416,1.814,-0.000
1752822044.255,-10.448,1.814,-0.000
1752822044.324,-10.485,1.814,-0.000
1752822044.392,-10.526,1.814,-0.000
1752822044.462,-10.559,1.805,-0.009
1752822044.531,-10.594,1.801,-0.013
1752822044.601,-10.638,1.793,-0.021
1752822044.670,-10.671,1.780,-0.034
1752822044.741,-10.704,1.758,-0.056
1752822044.809,-10.745,1.743,-0.071
1752822044.880,-10.780,1.745,-0.069
1752822044.949,-10.818,1.741,-0.073
1752822045.019,-10.855,1.733,-0.081
1752822045.087,-10.894,1.731,-0.083
1752822045.155,-10.926,1.729,-0.085
1752822045.223,-10.966,1.710,-0.104
1752822045.291,-11.005,1.708,-0.106
1752822045.367,-11.033,1.716,-0.098
1752822045.435,-11.076,1.716,-0.098
1752822045.503,-11.115,1.718,-0.096
1752822045.571,-11.144,1.716,-0.098
1752822045.641,-11.185,1.712,-0.102
1752822045.712,-11.225,1.714,-0.100
1752822045.780,-11.258,1.716,-0.098
1752822045.848,-11.296,1.702,-0.112
1752822045.916,-11.336,1.681,-0.133
1752822045.984,-11.370,1.631,-0.183
1752822046.052,-11.405,1.392,-0.422
1752822046.120,-11.446,0.942,-0.872
1752822046.188,-11.480,0.766,-1.048
1752822046.256,-11.513,1.224,-0.590
1752822046.324,-11.555,1.237,-0.577
1752822046.392,-11.589,1.195,-0.619
1752822046.460,-11.624,1.019,-0.795
1752822046.528,-11.663,0.905,-0.909
1752822046.596,-11.698,0.955,-0.859
1752822046.664,-11.735,1.013,-0.801
1752822046.732,-11.769,1.156,-0.658
1752822046.800,-11.806,1.276,-0.538
1752822046.868,-11.845,1.341,-0.473
1752822046.936,-11.880,1.353,-0.461
1752822047.004,-11.914,1.365,-0.449
1752822047.072,-11.954,1.394,-0.420
1752822047.140,-11.990,1.419,-0.395
1752822047.207,-12.025,1.421,-0.393
1752822047.275,-12.061,1.415,-0.399
1752822047.343,-12.099,1.417,-0.397
1752822047.410,-12.135,1.424,-0.390
1752822047.478,-12.173,1.424,-0.390
1752822047.546,-12.205,1.413,-0.401
1752822047.614,-12.244,1.388,-0.426
1752822047.682,-12.283,1.316,-0.498
1752822047.752,-12.316,1.121,-0.693
1752822047.823,-12.353,0.861,-0.953
1752822047.893,-12.395,0.604,-1.210
1752822047.963,-12.425,0.421,-1.393
1752822048.033,-12.461,0.262,-1.552
1752822048.102,-12.504,0.228,-1.586
1752822048.172,-12.536,0.247,-1.567
1752822048.241,-12.571,0.216,-1.598
1752822048.310,-12.615,0.231,-1.584
1752822048.382,-12.649,0.204,-1.610
1752822048.452,-12.683,0.096,-1.718
1752822048.521,-12.724,0.042,-1.772
1752822048.591,-12.760,-0.018,-1.832
1752822048.661,-12.791,-0.104,-1.918
1752822048.732,-12.831,-0.224,-2.038
1752822048.801,-12.870,-0.280,-2.094
1752822048.871,-12.904,-0.342,-2.156
1752822048.942,-12.943,-0.506,-2.320
1752822049.013,-12.984,-0.666,-2.480
1752822049.083,-13.014,-0.728,-2.542
1752822049.153,-13.053,-1.008,-2.822
1752822049.224,-13.095,-1.180,-2.994
1752822049.294,-13.128,-1.307,-3.121
1752822049.366,-13.166,-1.531,-3.345
1752822049.436,-13.206,-1.624,-3.438
1752822049.506,-13.235,-1.670,-3.484
1752822049.575,-13.279,-1.904,-3.719
1752822049.644,-13.318,-1.958,-3.772
1752822049.712,-13.343,-1.909,-3.723
1752822049.781,-13.385,-2.160,-3.974
1752822049.851,-13.428,-2.212,-4.026
1752822049.920,-13.455,-2.226,-4.040
1752822049.990,-13.498,-2.483,-4.297
1752822050.060,-13.539,-2.535,-4.349
1752822050.129,-13.563,-2.469,-4.283
1752822050.199,-13.605,-2.778,-4.592
1752822050.269,-13.646,-2.849,-4.663
1752822050.340,-13.673,-2.871,-4.685
1752822050.411,-13.718,-3.185,-4.999
1752822050.482,-13.758,-3.255,-5.069
1752822050.552,-13.780,-3.212,-5.026
1752822050.623,-13.826,-3.579,-5.393
1752822050.694,-13.866,-3.620,-5.434
1752822050.764,-13.891,-3.674,-5.488
1752822050.834,-13.934,-3.988,-5.802
1752822050.905,-13.974,-4.127,-5.941
1752822050.973,-14.003,-4.195,-6.009
1752822051.042,-14.044,-4.477,-6.291
1752822051.110,-14.083,-4.645,-6.459
1752822051.180,-14.114,-4.776,-6.590
1752822051.248,-14.154,-5.035,-6.849
1752822051.315,-14.191,-5.226,-7.040
1752822051.383,-14.224,-5.357,-7.171
1752822051.451,-14.261,-5.550,-7.364
1752822051.519,-14.300,-5.776,-7.590
1752822051.587,-14.334,-5.950,-7.764
1752822051.655,-14.374,-6.204,-8.018
1752822051.723,-14.413,-6.407,-8.221
1752822051.791,-14.441,-6.531,-8.345
1752822051.859,-14.485,-6.853,-8.667
1752822051.930,-14.523,-7.040,-8.854
1752822051.998,-14.555,-7.210,-9.024
1752822052.067,-14.596,-7.473,-9.287
1752822052.138,-14.635,-7.679,-9.493
1752822052.209,-14.664,-7.799,-9.613
1752822052.279,-14.705,-8.121,-9.935
1752822052.349,-14.745,-8.332,-10.146
1752822052.419,-14.776,-8.505,-10.319
1752822052.489,-14.818,-8.832,-10.646
1752822052.560,-14.859,-9.098,-10.912
1752822052.630,-14.886,-9.214,-11.028
1752822052.699,-14.928,-9.617,-11.431
