Test_Time,2025-07-18 03:04:07
Well,F3
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),25.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.814
Baseline_Std(N),0.005
Contact_Detected,True
Contact_Z(mm),-12.584
Force_Limit_Exceeded,True
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752822235.084,-9.501,1.822,0.008
1752822235.153,-9.529,1.814,0.000
1752822235.222,-9.585,1.814,0.000
1752822235.292,-9.613,1.812,-0.002
1752822235.361,-9.640,1.820,0.006
1752822235.430,-9.690,1.816,0.002
1752822235.498,-9.725,1.809,-0.004
1752822235.566,-9.748,1.816,0.002
1752822235.635,-9.794,1.812,-0.002
1752822235.704,-9.835,1.816,0.002
1752822235.774,-9.859,1.822,0.008
1752822235.841,-9.900,1.787,-0.027
1752822235.910,-9.941,1.735,-0.079
1752822235.977,-9.966,1.695,-0.118
1752822236.044,-10.005,1.652,-0.162
1752822236.112,-10.049,1.604,-0.210
1752822236.180,-10.075,1.573,-0.241
1752822236.248,-10.113,1.536,-0.278
1752822236.317,-10.156,1.521,-0.293
1752822236.385,-10.184,1.500,-0.313
1752822236.451,-10.220,1.490,-0.324
1752822236.520,-10.263,1.467,-0.346
1752822236.588,-10.291,1.444,-0.369
1752822236.659,-10.331,1.409,-0.405
1752822236.728,-10.375,1.374,-0.440
1752822236.795,-10.399,1.336,-0.477
1752822236.863,-10.438,1.287,-0.527
1752822236.931,-10.480,1.272,-0.542
1752822236.999,-10.511,1.297,-0.517
1752822237.068,-10.548,1.345,-0.469
1752822237.136,-10.591,1.382,-0.432
1752822237.204,-10.623,1.380,-0.434
1752822237.272,-10.656,1.378,-0.436
1752822237.340,-10.700,1.397,-0.417
1752822237.408,-10.733,1.424,-0.390
1752822237.477,-10.764,1.401,-0.413
1752822237.545,-10.809,1.411,-0.403
1752822237.613,-10.841,1.438,-0.376
1752822237.681,-10.870,1.421,-0.392
1752822237.749,-10.915,1.451,-0.363
1752822237.818,-10.953,1.523,-0.290
1752822237.887,-10.978,1.556,-0.257
1752822237.954,-11.021,1.617,-0.197
1752822238.022,-11.063,1.664,-0.149
1752822238.091,-11.089,1.604,-0.210
1752822238.161,-11.131,1.380,-0.434
1752822238.230,-11.173,1.092,-0.722
1752822238.299,-11.200,0.830,-0.983
1752822238.370,-11.243,0.571,-1.243
1752822238.439,-11.284,0.542,-1.272
1752822238.508,-11.314,0.536,-1.278
1752822238.575,-11.355,0.602,-1.212
1752822238.643,-11.390,0.637,-1.176
1752822238.711,-11.423,0.650,-1.164
1752822238.779,-11.460,0.760,-1.054
1752822238.847,-11.496,0.938,-0.876
1752822238.916,-11.531,1.027,-0.786
1752822238.983,-11.571,1.071,-0.743
1752822239.051,-11.608,1.152,-0.662
1752822239.119,-11.639,1.278,-0.535
1752822239.189,-11.681,1.432,-0.382
1752822239.257,-11.718,1.502,-0.311
1752822239.325,-11.751,1.540,-0.274
1752822239.394,-11.791,1.592,-0.222
1752822239.464,-11.829,1.610,-0.203
1752822239.533,-11.859,1.619,-0.195
1752822239.603,-11.903,1.637,-0.176
1752822239.673,-11.940,1.648,-0.166
1752822239.741,-11.966,1.648,-0.166
1752822239.812,-12.009,1.639,-0.174
1752822239.881,-12.053,1.558,-0.255
1752822239.950,-12.074,1.409,-0.405
1752822240.018,-12.116,1.079,-0.734
1752822240.086,-12.158,0.865,-0.948
1752822240.156,-12.180,0.679,-1.135
1752822240.225,-12.224,0.338,-1.475
1752822240.294,-12.264,0.216,-1.598
1752822240.362,-12.289,0.065,-1.749
1752822240.430,-12.331,0.102,-1.712
1752822240.498,-12.370,0.264,-1.550
1752822240.567,-12.398,0.204,-1.610
1752822240.635,-12.438,0.116,-1.697
1752822240.703,-12.476,0.062,-1.751
