Test_Time,2025-07-18 03:04:33
Well,G4
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),25.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.812
Baseline_Std(N),0.003
Contact_Detected,True
Contact_Z(mm),-10.186
Force_Limit_Exceeded,True
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752822266.563,-9.501,1.816,0.004
1752822266.632,-9.530,1.803,-0.009
1752822266.703,-9.586,1.791,-0.021
1752822266.776,-9.615,1.795,-0.017
1752822266.845,-9.639,1.789,-0.023
1752822266.914,-9.689,1.785,-0.027
1752822266.983,-9.729,1.795,-0.017
1752822267.054,-9.743,1.789,-0.023
1752822267.123,-9.784,1.695,-0.117
1752822267.192,-9.833,1.600,-0.212
1752822267.260,-9.854,1.504,-0.307
1752822267.329,-9.891,1.322,-0.490
1752822267.398,-9.938,1.148,-0.664
1752822267.466,-9.968,0.998,-0.814
1752822267.534,-10.004,0.801,-1.011
1752822267.602,-10.044,0.598,-1.214
1752822267.670,-10.075,0.419,-1.393
1752822267.737,-10.114,0.204,-1.608
1752822267.805,-10.154,0.025,-1.787
1752822267.873,-10.186,-0.211,-2.023
1752822267.941,-10.223,-0.473,-2.285
1752822268.009,-10.263,-0.828,-2.640
1752822268.078,-10.296,-1.415,-3.227
1752822268.146,-10.330,-2.060,-3.872
1752822268.214,-10.371,-2.863,-4.675
1752822268.281,-10.405,-3.544,-5.356
1752822268.349,-10.441,-4.340,-6.152
1752822268.417,-10.479,-5.056,-6.868
1752822268.485,-10.514,-5.809,-7.621
1752822268.553,-10.553,-6.600,-8.412
1752822268.621,-10.585,-7.293,-9.105
1752822268.689,-10.623,-8.127,-9.939
1752822268.757,-10.663,-8.915,-10.727
1752822268.827,-10.696,-9.681,-11.493
1752822268.896,-10.731,-10.432,-12.244
1752822268.964,-10.774,-11.316,-13.128
1752822269.032,-10.808,-12.019,-13.831
1752822269.100,-10.839,-12.706,-14.518
1752822269.167,-10.883,-13.575,-15.387
1752822269.234,-10.916,-14.268,-16.080
1752822269.301,-10.949,-15.038,-16.850
1752822269.369,-10.988,-15.833,-17.645
1752822269.438,-11.024,-16.488,-18.300
1752822269.506,-11.059,-17.235,-19.047
1752822269.575,-11.100,-18.040,-19.852
1752822269.643,-11.138,-18.696,-20.508
1752822269.712,-11.168,-19.267,-21.079
1752822269.780,-11.206,-19.980,-21.792
1752822269.848,-11.245,-20.686,-22.498
1752822269.917,-11.276,-21.244,-23.056
1752822269.987,-11.314,-21.647,-23.458
1752822270.057,-11.355,-21.738,-23.550
1752822270.128,-11.389,-21.825,-23.637
1752822270.197,-11.424,-22.217,-24.029
1752822270.267,-11.468,-22.991,-24.803
1752822270.337,-11.498,-23.570,-25.382
