Well,ElasticModulus,Std,PoissonRatio,SampleHeight,R2
A5,734987.0,52229.0,0.5,5.7,0.941
A6,3153560.0,48351.0,0.3,8.3,0.995
B5,794910.0,30437.0,0.5,5.7,0.984
B6,3442372.0,50205.0,0.3,8.9,0.996
C5,1431158.0,11230.0,0.5,6.6,0.999
C6,3488383.0,47021.0,0.3,8.6,0.997
D5,3525204.0,67173.0,0.3,6.9,0.993
D6,4096742.0,104855.0,0.5,6.2,0.99
D7,3992193.0,118028.0,0.3,6.8,0.985
E5,7082649.0,241849.0,0.3,8.2,0.986
E6,6309171.0,220913.0,0.3,8.3,0.984
E7,4485540.0,79612.0,0.3,9.9,0.995
F3,3562596.0,81372.0,0.3,7.0,0.991
F4,4202371.0,106991.0,0.3,7.7,0.989
F5,3854517.0,123246.0,0.3,7.4,0.982
G3,6241469.0,228206.0,0.3,9.3,0.982
G4,5997954.0,199260.0,0.3,9.6,0.985
