Test_Time,2025-07-18 03:07:16
Well,C6
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),25.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.823
Baseline_Std(N),0.002
Contact_Detected,True
Contact_Z(mm),-11.185
Force_Limit_Exceeded,True
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752822426.762,-9.501,1.822,-0.001
1752822426.831,-9.530,1.830,0.007
1752822426.900,-9.585,1.822,-0.001
1752822426.969,-9.613,1.820,-0.003
1752822427.039,-9.641,1.828,0.005
1752822427.108,-9.691,1.824,0.001
1752822427.177,-9.725,1.818,-0.005
1752822427.245,-9.751,1.828,0.005
1752822427.313,-9.796,1.824,0.001
1752822427.381,-9.836,1.822,-0.001
1752822427.448,-9.863,1.826,0.003
1752822427.517,-9.905,1.828,0.005
1752822427.585,-9.945,1.816,-0.007
1752822427.652,-9.973,1.820,-0.003
1752822427.720,-10.013,1.826,0.003
1752822427.788,-10.053,1.822,-0.001
1752822427.856,-10.081,1.824,0.001
1752822427.924,-10.120,1.824,0.001
1752822427.992,-10.160,1.820,-0.003
1752822428.060,-10.190,1.820,-0.003
1752822428.128,-10.226,1.797,-0.026
1752822428.196,-10.266,1.782,-0.041
1752822428.265,-10.298,1.745,-0.078
1752822428.336,-10.339,1.716,-0.107
1752822428.406,-10.380,1.695,-0.128
1752822428.477,-10.408,1.668,-0.155
1752822428.544,-10.449,1.623,-0.200
1752822428.614,-10.489,1.598,-0.225
1752822428.683,-10.519,1.554,-0.269
1752822428.753,-10.559,1.492,-0.331
1752822428.826,-10.600,1.461,-0.362
1752822428.895,-10.635,1.415,-0.408
1752822428.962,-10.666,1.380,-0.443
1752822429.030,-10.709,1.295,-0.528
1752822429.102,-10.744,1.247,-0.576
1752822429.171,-10.780,1.166,-0.657
1752822429.241,-10.820,1.098,-0.725
1752822429.308,-10.856,1.013,-0.810
1752822429.377,-10.889,0.930,-0.893
1752822429.445,-10.931,0.799,-1.024
1752822429.513,-10.968,0.708,-1.115
1752822429.581,-10.996,0.602,-1.221
1752822429.649,-11.040,0.390,-1.433
1752822429.717,-11.076,0.274,-1.549
1752822429.785,-11.108,0.100,-1.723
1752822429.854,-11.148,-0.147,-1.970
1752822429.921,-11.185,-0.332,-2.155
1752822429.989,-11.218,-0.541,-2.364
1752822430.057,-11.254,-0.790,-2.613
1752822430.124,-11.293,-1.054,-2.877
1752822430.193,-11.326,-1.297,-3.120
1752822430.261,-11.366,-1.649,-3.472
1752822430.330,-11.405,-1.979,-3.802
1752822430.400,-11.434,-2.205,-4.028
1752822430.469,-11.478,-2.724,-4.547
1752822430.539,-11.516,-3.015,-4.838
1752822430.609,-11.543,-3.241,-5.064
1752822430.677,-11.586,-3.801,-5.624
1752822430.746,-11.624,-4.141,-5.964
1752822430.816,-11.653,-4.463,-6.286
1752822430.885,-11.695,-4.996,-6.819
1752822430.955,-11.734,-5.365,-7.188
1752822431.026,-11.765,-5.749,-7.572
1752822431.096,-11.808,-6.284,-8.108
1752822431.166,-11.846,-6.699,-8.523
1752822431.235,-11.875,-6.994,-8.817
1752822431.304,-11.916,-7.546,-9.369
1752822431.374,-11.955,-7.961,-9.784
1752822431.442,-11.986,-8.353,-10.176
1752822431.512,-12.026,-8.863,-10.687
1752822431.581,-12.065,-9.355,-11.178
1752822431.651,-12.100,-9.785,-11.608
1752822431.720,-12.138,-10.316,-12.139
1752822431.791,-12.173,-10.791,-12.614
1752822431.860,-12.211,-11.326,-13.149
1752822431.929,-12.245,-11.772,-13.596
1752822432.000,-12.284,-12.389,-14.212
1752822432.069,-12.319,-12.820,-14.643
1752822432.138,-12.358,-13.389,-15.212
1752822432.208,-12.391,-13.864,-15.687
1752822432.278,-12.431,-14.526,-16.349
1752822432.348,-12.466,-15.001,-16.824
1752822432.418,-12.504,-15.603,-17.426
1752822432.488,-12.540,-16.157,-17.980
1752822432.558,-12.579,-16.742,-18.565
1752822432.627,-12.613,-17.229,-19.052
1752822432.696,-12.646,-17.756,-19.579
1752822432.765,-12.688,-18.443,-20.266
1752822432.834,-12.724,-18.939,-20.762
1752822432.904,-12.754,-19.402,-21.225
1752822432.972,-12.799,-20.109,-21.932
1752822433.040,-12.835,-20.605,-22.428
1752822433.109,-12.861,-20.997,-22.820
1752822433.177,-12.903,-21.613,-23.436
1752822433.247,-12.948,-21.588,-23.412
1752822433.316,-12.969,-21.489,-23.312
1752822433.386,-13.013,-21.794,-23.617
1752822433.455,-13.055,-22.265,-24.088
1752822433.524,-13.078,-22.618,-24.441
1752822433.592,-13.123,-23.472,-25.296
