Test_Time,2025-07-18 03:08:54
Well,D6
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),25.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.819
Baseline_Std(N),0.003
Contact_Detected,True
Contact_Z(mm),-13.410
Force_Limit_Exceeded,False
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752822521.202,-9.501,1.818,-0.001
1752822521.271,-9.531,1.818,-0.001
1752822521.340,-9.586,1.820,0.001
1752822521.409,-9.610,1.814,-0.005
1752822521.480,-9.643,1.822,0.003
1752822521.550,-9.691,1.820,0.001
1752822521.618,-9.724,1.814,-0.005
1752822521.687,-9.754,1.818,-0.001
1752822521.756,-9.799,1.820,0.001
1752822521.825,-9.833,1.820,0.001
1752822521.893,-9.866,1.820,0.001
1752822521.961,-9.906,1.826,0.007
1752822522.030,-9.941,1.826,0.007
1752822522.099,-9.978,1.818,-0.001
1752822522.172,-10.015,1.824,0.005
1752822522.255,-10.054,1.826,0.007
1752822522.334,-10.095,1.818,-0.001
1752822522.407,-10.130,1.828,0.010
1752822522.476,-10.165,1.822,0.003
1752822522.545,-10.204,1.824,0.005
1752822522.613,-10.241,1.818,-0.001
1752822522.682,-10.271,1.816,-0.003
1752822522.751,-10.315,1.818,-0.001
1752822522.820,-10.353,1.822,0.003
1752822522.890,-10.379,1.818,-0.001
1752822522.958,-10.421,1.816,-0.003
1752822523.041,-10.463,1.820,0.001
1752822523.135,-10.500,1.820,0.001
1752822523.208,-10.545,1.818,-0.001
1752822523.324,-10.575,1.818,-0.001
1752822523.400,-10.639,1.816,-0.003
1752822523.471,-10.655,1.818,-0.001
1752822523.540,-10.686,1.816,-0.003
1752822523.608,-10.738,1.814,-0.005
1752822523.698,-10.768,1.816,-0.003
1752822523.767,-10.810,1.820,0.001
1752822523.835,-10.848,1.816,-0.003
1752822523.903,-10.880,1.818,-0.001
1752822523.971,-10.919,1.812,-0.007
1752822524.039,-10.958,1.818,-0.001
1752822524.109,-10.991,1.818,-0.001
1752822524.176,-11.028,1.818,-0.001
1752822524.245,-11.068,1.820,0.001
1752822524.313,-11.103,1.816,-0.003
1752822524.382,-11.135,1.814,-0.005
1752822524.452,-11.178,1.820,0.001
1752822524.520,-11.214,1.824,0.005
1752822524.588,-11.243,1.816,-0.003
1752822524.656,-11.288,1.822,0.003
1752822524.724,-11.324,1.814,-0.005
1752822524.791,-11.354,1.822,0.003
1752822524.859,-11.395,1.820,0.001
1752822524.927,-11.431,1.820,0.001
1752822524.995,-11.464,1.818,-0.001
1752822525.063,-11.501,1.818,-0.001
1752822525.131,-11.539,1.824,0.005
1752822525.199,-11.574,1.820,0.001
1752822525.267,-11.614,1.814,-0.005
1752822525.335,-11.651,1.820,0.001
1752822525.403,-11.681,1.820,0.001
1752822525.471,-11.724,1.820,0.001
1752822525.538,-11.761,1.816,-0.003
1752822525.606,-11.793,1.818,-0.001
1752822525.674,-11.831,1.824,0.005
1752822525.743,-11.870,1.818,-0.001
1752822525.813,-11.904,1.820,0.001
1752822525.881,-11.940,1.816,-0.003
1752822525.949,-11.980,1.820,0.001
1752822526.018,-12.015,1.828,0.010
1752822526.086,-12.049,1.814,-0.005
1752822526.155,-12.090,1.816,-0.003
1752822526.224,-12.126,1.818,-0.001
1752822526.292,-12.156,1.818,-0.001
1752822526.360,-12.200,1.818,-0.001
1752822526.428,-12.236,1.809,-0.009
1752822526.496,-12.269,1.816,-0.003
1752822526.564,-12.309,1.818,-0.001
1752822526.631,-12.345,1.820,0.001
1752822526.699,-12.379,1.812,-0.007
1752822526.767,-12.415,1.818,-0.001
1752822526.835,-12.454,1.818,-0.001
1752822526.903,-12.489,1.793,-0.026
1752822526.971,-12.528,1.737,-0.082
1752822527.039,-12.561,1.689,-0.129
1752822527.108,-12.599,1.662,-0.156
1752822527.176,-12.639,1.648,-0.171
1752822527.246,-12.674,1.660,-0.159
1752822527.315,-12.708,1.652,-0.167
1752822527.384,-12.750,1.619,-0.200
1752822527.454,-12.786,1.556,-0.262
1752822527.524,-12.818,1.529,-0.289
1752822527.595,-12.859,1.515,-0.304
1752822527.666,-12.898,1.509,-0.310
1752822527.736,-12.926,1.521,-0.298
