Test_Time,2025-07-18 03:09:54
Well,E5
Target_Z(mm),-15.000
Step_Size(mm),0.100
Force_Limit(N),25.0
Contact_Force_Threshold(N),2.000
Baseline_Force(N),1.817
Baseline_Std(N),0.002
Contact_Detected,True
Contact_Z(mm),-11.456
Force_Limit_Exceeded,True
Target_Z_Reached,False

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1752822586.110,-9.501,1.816,-0.001
1752822586.180,-9.530,1.820,0.003
1752822586.250,-9.586,1.820,0.003
1752822586.319,-9.614,1.818,0.001
1752822586.389,-9.636,1.816,-0.001
1752822586.460,-9.685,1.820,0.003
1752822586.529,-9.726,1.816,-0.001
1752822586.599,-9.740,1.818,0.001
1752822586.667,-9.780,1.822,0.005
1752822586.736,-9.828,1.820,0.003
1752822586.805,-9.849,1.820,0.003
1752822586.872,-9.891,1.818,0.001
1752822586.940,-9.934,1.818,0.001
1752822587.009,-9.956,1.818,0.001
1752822587.076,-9.999,1.824,0.007
1752822587.146,-10.040,1.814,-0.003
1752822587.218,-10.064,1.824,0.007
1752822587.287,-10.108,1.814,-0.003
1752822587.357,-10.149,1.822,0.005
1752822587.425,-10.175,1.824,0.007
1752822587.494,-10.212,1.818,0.001
1752822587.563,-10.258,1.826,0.010
1752822587.634,-10.285,1.824,0.007
1752822587.702,-10.325,1.820,0.003
1752822587.770,-10.364,1.818,0.001
1752822587.839,-10.394,1.820,0.003
1752822587.907,-10.431,1.824,0.007
1752822587.975,-10.471,1.818,0.001
1752822588.042,-10.503,1.814,-0.003
1752822588.110,-10.536,1.822,0.005
1752822588.178,-10.578,1.824,0.007
1752822588.246,-10.610,1.818,0.001
1752822588.314,-10.648,1.824,0.007
1752822588.381,-10.688,1.816,-0.001
1752822588.449,-10.721,1.818,0.001
1752822588.518,-10.756,1.809,-0.007
1752822588.588,-10.798,1.803,-0.013
1752822588.658,-10.833,1.797,-0.020
1752822588.728,-10.865,1.791,-0.026
1752822588.799,-10.905,1.787,-0.030
1752822588.868,-10.943,1.778,-0.038
1752822588.938,-10.979,1.776,-0.040
1752822589.007,-11.015,1.780,-0.036
1752822589.077,-11.055,1.778,-0.038
1752822589.146,-11.088,1.778,-0.038
1752822589.217,-11.123,1.778,-0.038
1752822589.288,-11.165,1.787,-0.030
1752822589.357,-11.200,1.791,-0.026
1752822589.426,-11.233,1.791,-0.026
1752822589.496,-11.273,1.782,-0.034
1752822589.566,-11.310,1.726,-0.090
1752822589.636,-11.346,1.571,-0.246
1752822589.705,-11.384,0.994,-0.822
1752822589.773,-11.418,0.249,-1.567
1752822589.841,-11.456,-0.585,-2.401
1752822589.911,-11.495,-1.409,-3.225
1752822589.978,-11.525,-2.062,-3.879
1752822590.046,-11.566,-2.977,-4.794
1752822590.114,-11.605,-3.755,-5.572
1752822590.193,-11.639,-4.614,-6.431
1752822590.261,-11.683,-5.457,-7.273
1752822590.329,-11.715,-6.199,-8.016
1752822590.397,-11.746,-6.909,-8.726
1752822590.465,-11.791,-7.762,-9.578
1752822590.532,-11.823,-8.320,-10.136
1752822590.601,-11.858,-8.992,-10.809
1752822590.668,-11.898,-9.754,-11.570
1752822590.736,-11.930,-10.395,-12.211
1752822590.805,-11.969,-11.206,-13.022
1752822590.875,-12.009,-12.034,-13.850
1752822590.944,-12.044,-12.837,-14.653
1752822591.015,-12.080,-13.640,-15.456
1752822591.085,-12.118,-14.441,-16.257
1752822591.155,-12.156,-15.252,-17.068
1752822591.224,-12.189,-15.988,-17.805
1752822591.294,-12.224,-16.854,-18.670
1752822591.365,-12.265,-17.754,-19.571
1752822591.434,-12.301,-18.514,-20.330
1752822591.505,-12.334,-19.335,-21.152
1752822591.575,-12.374,-20.250,-22.067
1752822591.644,-12.411,-21.055,-22.872
1752822591.716,-12.448,-21.796,-23.612
1752822591.786,-12.486,-21.987,-23.803
1752822591.856,-12.520,-22.018,-23.834
1752822591.924,-12.555,-22.381,-24.198
1752822591.996,-12.596,-23.356,-25.173
