Test_Time,2025-10-30 12:21:52
Well,E6
Target_Z(mm),-80.000
Step_Size(mm),0.010
Force_Limit(N),10.0
Baseline_Force(N),0.108
Baseline_Std(N),0.005
Force_Exceeded,True

Timestamp(s),Z_Position(mm),Raw_Force(N),Corrected_Force(N)
1761841271.603,-74.010,0.110,0.002
1761841271.726,-74.020,0.112,0.004
1761841271.849,-74.030,0.110,0.002
1761841271.976,-74.040,0.112,0.004
1761841272.100,-74.050,0.104,-0.004
1761841272.221,-74.060,0.114,0.006
1761841272.348,-74.070,0.110,0.002
1761841272.471,-74.080,0.110,0.002
1761841272.591,-74.090,0.121,0.013
1761841272.713,-74.100,0.116,0.009
1761841272.835,-74.110,0.118,0.011
1761841272.961,-74.120,0.110,0.002
1761841273.084,-74.130,0.116,0.009
1761841273.207,-74.140,0.118,0.011
1761841273.330,-74.150,0.121,0.013
1761841273.450,-74.160,0.123,0.015
1761841273.576,-74.170,0.116,0.009
1761841273.700,-74.180,0.110,0.002
1761841273.822,-74.190,0.114,0.006
1761841273.944,-74.200,0.112,0.004
1761841274.064,-74.210,0.127,0.019
1761841274.190,-74.220,0.110,0.002
1761841274.313,-74.230,0.112,0.004
1761841274.433,-74.240,0.116,0.009
1761841274.556,-74.250,0.118,0.011
1761841274.681,-74.260,0.121,0.013
1761841274.806,-74.270,0.121,0.013
1761841274.927,-74.280,0.123,0.015
1761841275.047,-74.290,0.127,0.019
1761841275.170,-74.300,0.118,0.011
1761841275.292,-74.310,0.125,0.017
1761841275.424,-74.320,0.123,0.015
1761841275.555,-74.330,0.121,0.013
1761841275.676,-74.340,0.118,0.011
1761841275.796,-74.350,0.118,0.011
1761841275.917,-74.360,0.114,0.006
1761841276.043,-74.370,0.125,0.017
1761841276.171,-74.380,0.127,0.019
1761841276.292,-74.390,0.123,0.015
1761841276.414,-74.400,0.129,0.021
1761841276.535,-74.410,0.118,0.011
1761841276.662,-74.420,0.127,0.019
1761841276.785,-74.430,0.125,0.017
1761841276.908,-74.440,0.125,0.017
1761841277.031,-74.450,0.133,0.025
1761841277.154,-74.460,0.125,0.017
1761841277.281,-74.470,0.121,0.013
1761841277.403,-74.480,0.129,0.021
1761841277.523,-74.490,0.129,0.021
1761841277.645,-74.500,0.137,0.029
1761841277.766,-74.510,0.131,0.023
1761841277.892,-74.520,0.131,0.023
1761841278.016,-74.530,0.131,0.023
1761841278.138,-74.540,0.125,0.017
1761841278.262,-74.550,0.141,0.033
1761841278.383,-74.560,0.139,0.031
1761841278.509,-74.570,0.129,0.021
