Test_Time,2025-07-10 22:00:37
Well,B6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),20
Well_X(mm),107.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.053,0.218,Down
0.223,-0.221,0.220,Down
0.328,-0.495,0.214,Down
0.432,-0.876,0.210,Down
0.535,-1.360,0.224,Down
0.641,-1.965,0.228,Down
0.744,-2.668,0.210,Down
0.848,-3.480,0.218,Down
0.952,-4.339,0.224,Down
1.058,-5.228,0.214,Down
1.165,-6.116,0.222,Down
1.272,-7.008,0.218,Down
1.379,-7.901,0.214,Down
1.485,-8.784,0.216,Down
1.592,-9.675,0.216,Down
1.695,-10.531,0.216,Down
1.802,-11.425,0.214,Down
1.910,-12.273,-4.606,Down
2.017,-13.011,-12.374,Down
2.124,-13.629,-19.702,Down
2.231,-14.133,-24.719,Down
2.339,-14.521,-28.979,Down
2.446,-14.796,-31.987,Down
2.549,-14.950,-32.728,Down
2.653,-15.000,-32.803,Down
2.756,-14.969,-31.303,Up
2.862,-14.828,-28.545,Up
2.969,-14.571,-26.087,Up
3.074,-14.210,-24.246,Up
3.179,-13.738,-21.244,Up
3.285,-13.149,-17.854,Up
3.391,-12.450,-14.590,Up
3.498,-11.630,-11.386,Up
3.605,-10.739,-8.318,Up
3.710,-9.863,-5.415,Up
3.814,-8.995,-0.564,Up
3.921,-8.105,3.837,Up
4.028,-7.216,2.054,Up
4.135,-6.323,0.293,Up
4.243,-5.430,0.249,Up
4.350,-4.536,0.241,Up
4.455,-3.666,0.228,Up
4.561,-2.814,0.235,Up
4.665,-2.088,0.228,Up
4.770,-1.466,0.220,Up
4.876,-0.946,0.224,Up
4.984,-0.536,0.218,Up
5.087,-0.253,0.222,Up
5.195,-0.068,0.222,Up
