Test_Time,2025-07-11 04:33:07
Well,B6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.145
Sampling_Period(ms),20
Well_X(mm),107.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.054,0.220,Down
0.222,-0.216,0.228,Down
0.325,-0.484,0.218,Down
0.432,-0.873,0.226,Down
0.535,-1.358,0.222,Down
0.642,-1.973,0.224,Down
0.750,-2.709,0.224,Down
0.867,-3.631,0.231,Down
0.984,-4.610,0.222,Down
1.086,-5.459,0.220,Down
1.193,-6.356,0.224,Down
1.298,-7.226,0.222,Down
1.402,-8.094,0.233,Down
1.506,-8.954,0.220,Down
1.609,-9.814,0.233,Down
1.712,-10.671,0.224,Down
1.818,-11.554,0.218,Down
1.924,-12.373,-4.141,Down
2.026,-13.060,-19.117,Down
2.133,-13.671,-32.114,Down
2.235,-14.145,-47.221,Down
2.646,-14.999,-58.759,Down
2.753,-14.999,-65.965,Down
2.857,-14.999,-65.963,Down
2.964,-14.999,-65.957,Down
3.069,-14.999,-65.963,Down
3.984,-15.000,-65.963,Down
4.091,-14.946,-65.965,Up
4.198,-14.779,-65.961,Up
4.305,-14.499,-65.963,Up
4.412,-14.103,-65.963,Up
4.514,-13.618,-65.963,Up
4.621,-12.996,-65.961,Up
4.728,-12.260,-65.963,Up
4.836,-11.410,-65.965,Up
4.939,-10.554,-65.963,Up
5.043,-9.686,-65.965,Up
5.149,-8.744,-65.957,Up
5.263,-7.854,-65.963,Up
5.365,-7.005,-65.967,Up
5.472,-6.115,-65.961,Up
5.579,-5.220,-65.961,Up
5.685,-4.340,-65.965,Up
5.789,-3.470,-61.290,Up
5.895,-2.646,-51.122,Up
6.002,-1.926,-41.098,Up
6.108,-1.326,-27.545,Up
6.214,-0.835,-14.868,Up
6.322,-0.451,0.247,Up
6.427,-0.191,7.169,Up
6.535,-0.039,0.289,Up
