Test_Time,2025-07-11 04:45:13
Well,C5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),116.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.014,-0.065,0.210,Down
0.233,-0.235,0.218,Down
0.337,-0.514,0.228,Down
0.442,-0.906,0.212,Down
0.547,-1.409,0.214,Down
0.654,-2.034,0.218,Down
0.757,-2.743,0.220,Down
0.864,-3.593,0.216,Down
0.971,-4.481,0.218,Down
1.076,-5.353,0.220,Down
1.183,-6.243,0.220,Down
1.288,-7.120,0.222,Down
1.393,-7.995,0.216,Down
1.495,-8.849,0.218,Down
1.601,-9.731,0.216,Down
1.709,-10.625,0.222,Down
1.813,-11.495,0.226,Down
1.920,-12.331,-0.792,Down
2.026,-13.049,-0.647,Down
2.132,-13.656,-3.635,Down
2.238,-14.148,-13.316,Down
2.342,-14.524,-20.580,Down
2.445,-14.788,-25.711,Down
2.548,-14.948,-30.703,Down
2.755,-15.000,-33.961,Down
2.861,-14.951,-35.799,Up
2.967,-14.790,-35.805,Up
3.074,-14.515,-33.537,Up
3.180,-14.129,-32.475,Up
3.284,-13.643,-28.807,Up
3.390,-13.030,-24.155,Up
3.492,-12.338,-17.509,Up
3.599,-11.495,-8.276,Up
3.702,-10.638,2.880,Up
3.809,-9.752,8.059,Up
3.915,-8.866,5.582,Up
4.019,-8.008,4.152,Up
4.121,-7.154,3.224,Up
4.224,-6.295,1.347,Up
4.328,-5.429,1.023,Up
4.435,-4.536,0.814,Up
4.542,-3.646,0.629,Up
4.646,-2.814,0.519,Up
4.751,-2.088,0.423,Up
4.859,-1.446,0.353,Up
4.965,-0.931,0.316,Up
5.072,-0.526,0.301,Up
5.180,-0.235,0.280,Up
5.287,-0.061,0.266,Up
