Test_Time,2025-07-11 04:50:49
Well,A6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.950
Sampling_Period(ms),20
Well_X(mm),98.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.021,-0.053,0.253,Down
0.224,-0.220,0.260,Down
0.329,-0.496,0.253,Down
0.435,-0.885,0.247,Down
0.539,-1.318,0.241,Down
0.646,-1.761,0.251,Down
0.750,-2.198,0.249,Down
0.855,-2.634,0.247,Down
0.962,-3.078,0.245,Down
1.069,-3.523,0.243,Down
1.175,-3.968,0.243,Down
1.282,-4.411,0.245,Down
1.389,-4.856,0.245,Down
1.496,-5.300,0.241,Down
1.600,-5.735,0.255,Down
1.707,-6.180,0.245,Down
1.814,-6.625,0.243,Down
1.921,-7.070,0.245,Down
2.028,-7.515,0.247,Down
2.134,-7.961,0.251,Down
2.237,-8.388,0.260,Down
2.344,-8.836,0.255,Down
2.452,-9.283,0.253,Down
2.557,-9.723,0.249,Down
2.660,-10.148,0.247,Down
2.766,-10.589,0.249,Down
2.873,-11.034,0.243,Down
2.980,-11.481,0.228,Down
3.087,-11.925,-0.027,Down
3.194,-12.370,-2.116,Down
3.300,-12.811,-8.135,Down
3.406,-13.258,-15.007,Down
3.514,-13.703,-22.068,Down
3.617,-14.133,-27.346,Down
3.724,-14.521,-34.303,Down
3.831,-14.795,-43.175,Down
3.933,-14.950,-52.499,Down
4.343,-15.000,-60.545,Down
4.450,-15.000,-65.961,Down
4.552,-15.000,-65.959,Down
4.658,-15.000,-65.963,Down
4.762,-15.000,-65.961,Down
5.690,-15.000,-65.948,Down
5.796,-14.949,-65.921,Up
5.903,-14.783,-65.749,Up
6.010,-14.504,-65.504,Up
6.117,-14.110,-65.289,Up
6.224,-13.664,-65.091,Up
6.331,-13.218,-64.925,Up
6.436,-12.783,-64.755,Up
6.543,-12.336,-64.589,Up
6.650,-11.894,-64.440,Up
6.754,-11.459,-64.295,Up
6.861,-11.014,-64.164,Up
6.968,-10.569,-64.033,Up
7.075,-10.124,-63.913,Up
7.181,-9.679,-63.788,Up
7.284,-9.251,-63.788,Up
7.391,-8.805,-62.247,Up
7.496,-8.370,-57.506,Up
7.598,-7.945,-50.178,Up
7.701,-7.518,-40.569,Up
7.805,-7.085,-30.720,Up
7.911,-6.641,-23.601,Up
8.015,-6.209,-16.318,Up
8.122,-5.764,-8.094,Up
8.229,-5.320,0.046,Up
8.334,-4.879,5.913,Up
8.441,-4.433,8.723,Up
8.546,-4.000,5.038,Up
8.653,-3.554,0.486,Up
8.758,-3.115,0.297,Up
8.865,-2.669,0.247,Up
8.972,-2.224,0.218,Up
9.079,-1.779,0.195,Up
9.186,-1.334,0.189,Up
9.293,-0.888,0.183,Up
9.396,-0.506,0.181,Up
9.503,-0.224,0.179,Up
9.610,-0.055,0.179,Up
