Test_Time,2025-07-11 04:51:15
Well,C6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.500
Sampling_Period(ms),20
Well_X(mm),116.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.020,-0.053,0.208,Down
0.221,-0.216,0.208,Down
0.328,-0.495,0.208,Down
0.432,-0.881,0.220,Down
0.541,-1.334,0.208,Down
0.646,-1.769,0.208,Down
0.753,-2.213,0.214,Down
0.860,-2.658,0.212,Down
0.962,-3.083,0.214,Down
1.066,-3.518,0.210,Down
1.179,-3.990,0.216,Down
1.288,-4.445,0.218,Down
1.391,-4.871,0.214,Down
1.498,-5.316,0.216,Down
1.604,-5.756,0.220,Down
1.711,-6.200,0.216,Down
1.813,-6.628,0.212,Down
1.920,-7.073,0.206,Down
2.025,-7.509,0.210,Down
2.130,-7.948,0.210,Down
2.233,-8.376,0.216,Down
2.340,-8.820,0.224,Down
2.446,-9.260,0.220,Down
2.550,-9.694,0.222,Down
2.656,-10.139,0.214,Down
2.762,-10.575,0.220,Down
2.868,-11.020,0.222,Down
2.975,-11.466,0.185,Down
3.082,-11.909,-2.187,Down
3.189,-12.355,-8.092,Down
3.295,-12.800,-16.652,Down
3.402,-13.244,-23.858,Down
3.509,-13.688,-30.643,Down
3.612,-14.115,-39.328,Down
3.716,-14.500,-47.829,Down
4.124,-14.999,-56.632,Down
4.230,-14.999,-65.847,Down
4.337,-14.999,-65.957,Down
4.439,-14.999,-65.961,Down
4.543,-14.999,-65.963,Down
5.462,-15.000,-65.967,Down
5.567,-14.950,-65.967,Up
5.674,-14.786,-65.971,Up
5.777,-14.521,-65.965,Up
5.884,-14.134,-65.961,Up
5.991,-13.688,-65.965,Up
6.097,-13.246,-65.965,Up
6.204,-12.801,-65.957,Up
6.311,-12.358,-65.963,Up
6.417,-11.914,-65.963,Up
6.524,-11.470,-65.961,Up
6.628,-11.038,-65.959,Up
6.732,-10.603,-65.965,Up
6.838,-10.164,-65.957,Up
6.944,-9.723,-65.963,Up
7.050,-9.279,-65.965,Up
7.156,-8.839,-65.961,Up
7.263,-8.395,-62.776,Up
7.369,-7.951,-54.406,Up
7.475,-7.510,-45.461,Up
7.579,-7.079,-35.322,Up
7.685,-6.634,-25.493,Up
7.790,-6.201,-17.897,Up
7.896,-5.756,-8.803,Up
8.003,-5.313,-0.749,Up
8.105,-4.886,5.739,Up
8.212,-4.441,10.335,Up
8.319,-3.996,0.558,Up
8.421,-3.573,0.131,Up
8.527,-3.129,0.116,Up
8.634,-2.683,0.102,Up
8.742,-2.233,0.108,Up
8.849,-1.786,0.108,Up
8.957,-1.341,0.110,Up
9.064,-0.895,0.121,Up
9.170,-0.501,0.118,Up
9.275,-0.225,0.123,Up
9.377,-0.061,0.127,Up
