Test_Time,2025-07-11 05:40:36
Well,C5
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),116.500
Well_Y(mm),84.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.065,0.075,Down
0.231,-0.240,0.073,Down
0.338,-0.533,0.075,Down
0.443,-0.881,0.077,Down
0.549,-1.234,0.077,Down
0.656,-1.591,0.075,Down
0.764,-1.950,0.081,Down
0.870,-2.306,0.079,Down
0.978,-2.665,0.081,Down
1.082,-3.011,0.085,Down
1.189,-3.368,0.087,Down
1.293,-3.715,0.085,Down
1.398,-4.063,0.094,Down
1.503,-4.413,0.096,Down
1.608,-4.764,0.091,Down
1.711,-5.106,0.083,Down
1.819,-5.466,0.079,Down
1.925,-5.820,0.083,Down
2.033,-6.179,0.087,Down
2.140,-6.536,0.094,Down
2.245,-6.886,0.100,Down
2.352,-7.243,0.100,Down
2.460,-7.603,0.094,Down
2.567,-7.958,0.094,Down
2.672,-8.305,0.100,Down
2.777,-8.655,0.091,Down
2.881,-9.005,0.098,Down
2.989,-9.361,0.094,Down
3.096,-9.720,0.089,Down
3.199,-10.061,0.102,Down
3.306,-10.420,0.098,Down
3.412,-10.774,0.100,Down
3.518,-11.125,0.098,Down
3.622,-11.473,0.102,Down
3.729,-11.829,0.102,Down
3.832,-12.173,0.075,Down
3.940,-12.530,-0.072,Down
4.043,-12.874,-0.216,Down
4.150,-13.229,-0.512,Down
4.256,-13.584,-1.782,Down
4.360,-13.928,-6.359,Down
4.466,-14.283,-11.289,Down
4.568,-14.609,-16.044,Down
4.675,-14.850,-20.815,Down
4.778,-14.975,-23.966,Down
4.985,-15.000,-28.979,Down
5.092,-14.948,-32.496,Up
5.198,-14.781,-34.461,Up
5.305,-14.501,-34.567,Up
5.410,-14.154,-32.305,Up
5.517,-13.798,-31.496,Up
5.623,-13.441,-29.269,Up
5.730,-13.084,-24.630,Up
5.838,-12.726,-19.632,Up
5.943,-12.374,-12.175,Up
6.051,-12.018,-4.946,Up
6.154,-11.671,2.025,Up
6.259,-11.321,5.843,Up
6.365,-10.969,4.822,Up
6.472,-10.613,4.098,Up
6.580,-10.256,3.619,Up
6.684,-9.909,3.220,Up
6.787,-9.566,2.888,Up
6.893,-9.212,2.585,Up
6.999,-8.861,2.293,Up
7.101,-8.519,1.984,Up
7.208,-8.164,0.897,Up
7.315,-7.805,0.606,Up
7.422,-7.448,0.560,Up
7.527,-7.099,0.496,Up
7.631,-6.751,0.450,Up
7.738,-6.394,0.392,Up
7.845,-6.039,0.376,Up
7.952,-5.685,0.338,Up
8.055,-5.341,0.318,Up
8.161,-4.986,0.293,Up
8.264,-4.644,0.272,Up
8.371,-4.289,0.255,Up
8.476,-3.936,0.231,Up
8.582,-3.584,0.199,Up
8.689,-3.228,0.197,Up
8.797,-2.869,0.177,Up
8.899,-2.527,0.172,Up
9.006,-2.172,0.162,Up
9.111,-1.823,0.145,Up
9.215,-1.475,0.139,Up
9.322,-1.119,0.123,Up
9.428,-0.766,0.125,Up
9.535,-0.421,0.116,Up
9.639,-0.171,0.114,Up
9.747,-0.030,0.118,Up
