Test_Time,2025-07-11 05:40:23
Well,C6
Target_Z(mm),-15.000
Force_Limit(N),45.0
Force_Exceeded,True
Stop_Z(mm),-14.816
Sampling_Period(ms),10
Well_X(mm),116.500
Well_Y(mm),93.000

Timestamp(s),Z_Position(mm),Force(N),Movement
0.011,-0.064,0.091,Down
0.235,-0.250,0.096,Down
0.340,-0.536,0.100,Down
0.443,-0.880,0.094,Down
0.550,-1.236,0.100,Down
0.657,-1.594,0.096,Down
0.763,-1.946,0.104,Down
0.867,-2.293,0.108,Down
0.973,-2.645,0.110,Down
1.076,-2.990,0.102,Down
1.181,-3.339,0.104,Down
1.285,-3.686,0.106,Down
1.393,-4.045,0.108,Down
1.499,-4.399,0.118,Down
1.604,-4.749,0.116,Down
1.706,-5.089,0.121,Down
1.809,-5.434,0.108,Down
1.914,-5.781,0.114,Down
2.022,-6.139,0.118,Down
2.129,-6.498,0.121,Down
2.235,-6.850,0.125,Down
2.339,-7.196,0.118,Down
2.446,-7.551,0.121,Down
2.553,-7.908,0.121,Down
2.656,-8.251,0.129,Down
2.763,-8.606,0.118,Down
2.870,-8.964,0.123,Down
2.976,-9.320,0.123,Down
3.082,-9.671,0.125,Down
3.189,-10.030,0.123,Down
3.293,-10.374,0.127,Down
3.399,-10.728,0.129,Down
3.506,-11.085,0.133,Down
3.609,-11.426,0.127,Down
3.713,-11.774,-0.388,Down
3.817,-12.121,-1.987,Down
3.923,-12.474,-5.575,Down
4.026,-12.818,-11.378,Down
4.130,-13.161,-17.694,Down
4.235,-13.513,-22.823,Down
4.342,-13.870,-28.271,Down
4.446,-14.214,-34.919,Down
4.552,-14.563,-42.391,Down
4.657,-14.816,-49.534,Down
5.888,-15.000,-56.373,Down
5.993,-14.950,-63.504,Up
6.100,-14.786,-65.959,Up
6.206,-14.508,-65.961,Up
6.313,-14.153,-65.957,Up
6.420,-13.796,-65.961,Up
6.524,-13.453,-65.961,Up
6.629,-13.101,-65.963,Up
6.736,-12.745,-65.957,Up
6.843,-12.388,-65.965,Up
6.950,-12.033,-65.965,Up
7.056,-11.679,-65.959,Up
7.163,-11.324,-65.959,Up
7.269,-10.973,-65.959,Up
7.372,-10.629,-65.965,Up
7.478,-10.274,-65.959,Up
7.584,-9.920,-65.071,Up
7.691,-9.565,-60.010,Up
7.798,-9.209,-52.549,Up
7.905,-8.851,-44.262,Up
8.012,-8.495,-36.434,Up
8.117,-8.144,-28.483,Up
8.222,-7.794,-22.736,Up
8.329,-7.439,-15.769,Up
8.436,-7.076,-8.930,Up
8.542,-6.730,-1.581,Up
8.648,-6.374,3.210,Up
8.755,-6.018,5.131,Up
8.860,-5.671,3.774,Up
8.967,-5.315,1.172,Up
9.071,-4.968,0.208,Up
9.176,-4.617,0.027,Up
9.279,-4.275,-0.025,Up
9.386,-3.916,-0.066,Up
9.494,-3.558,-0.083,Up
9.601,-3.201,-0.099,Up
9.708,-2.843,-0.110,Up
9.816,-2.485,-0.089,Up
9.923,-2.126,-0.104,Up
10.026,-1.786,-0.099,Up
10.130,-1.438,-0.085,Up
10.236,-1.086,-0.089,Up
10.342,-0.731,-0.083,Up
10.450,-0.388,-0.079,Up
10.557,-0.147,-0.072,Up
10.663,-0.021,-0.068,Up
