Test_Time,2025-07-17 16:57:04
Well,A1
Target_Z(mm),-14.000
Force_Limit(N),45.0
Force_Exceeded,False
Stop_Z(mm),N/A
Sampling_Period(ms),10
Well_X(mm),99.000
Well_Y(mm),48.500

Timestamp(s),Z_Position(mm),Force(N),Movement
0.014,-0.050,1.922,Down
0.223,-0.209,1.917,Down
0.327,-0.474,1.922,Down
0.432,-0.819,1.924,Down
0.536,-1.165,1.926,Down
0.640,-1.511,1.911,Down
0.743,-1.856,1.922,Down
0.852,-2.220,1.915,Down
0.957,-2.569,1.913,Down
1.062,-2.918,1.917,Down
1.166,-3.265,1.917,Down
1.271,-3.614,1.919,Down
1.376,-3.964,1.926,Down
1.480,-4.311,1.917,Down
1.585,-4.660,1.926,Down
1.691,-5.014,1.919,Down
1.796,-5.364,1.924,Down
1.901,-5.715,1.922,Down
2.005,-6.061,1.924,Down
2.109,-6.408,1.915,Down
2.214,-6.755,1.930,Down
2.318,-7.101,1.924,Down
2.422,-7.449,1.922,Down
2.527,-7.799,1.922,Down
2.631,-8.145,1.930,Down
2.735,-8.490,1.917,Down
2.838,-8.836,1.909,Down
2.942,-9.183,1.098,Down
3.046,-9.528,-4.179,Down
3.150,-9.874,-10.353,Down
3.254,-10.219,-15.905,Down
3.358,-10.565,-20.883,Down
3.462,-10.913,-23.541,Down
3.566,-11.258,-25.834,Down
3.669,-11.604,-28.599,Down
3.773,-11.950,-34.369,Down
3.877,-12.296,-1.419,Down
3.981,-12.643,1.461,Down
4.085,-12.989,0.699,Down
4.189,-13.335,-0.535,Down
4.293,-13.656,-2.266,Down
4.397,-13.875,-4.581,Down
4.501,-13.985,-7.303,Down
4.706,-14.000,-9.920,Down
4.810,-13.950,-11.291,Up
4.913,-13.791,-11.486,Up
5.018,-13.525,-10.542,Up
5.121,-13.183,-9.762,Up
5.225,-12.836,-8.519,Up
5.329,-12.490,-5.691,Up
5.433,-12.144,-1.377,Up
5.537,-11.798,3.488,Up
5.641,-11.451,3.982,Up
5.745,-11.105,3.814,Up
5.849,-10.756,3.741,Up
5.954,-10.409,3.577,Up
6.058,-10.063,3.393,Up
6.162,-9.715,3.015,Up
6.269,-9.356,2.482,Up
6.377,-8.999,2.428,Up
6.485,-8.640,2.390,Up
6.593,-8.265,2.374,Up
6.709,-7.894,2.353,Up
6.819,-7.526,2.345,Up
6.925,-7.176,2.345,Up
7.036,-6.806,2.359,Up
7.143,-6.446,2.347,Up
7.248,-6.101,2.287,Up
7.351,-5.755,2.227,Up
7.455,-5.409,2.202,Up
7.559,-5.063,2.181,Up
7.664,-4.715,2.166,Up
7.768,-4.369,2.160,Up
7.871,-4.021,2.139,Up
7.975,-3.676,2.121,Up
8.079,-3.330,2.106,Up
8.183,-2.984,2.098,Up
8.287,-2.638,2.100,Up
8.391,-2.293,2.098,Up
8.494,-1.948,2.092,Up
8.598,-1.600,2.071,Up
8.703,-1.251,2.090,Up
8.807,-0.904,2.079,Up
8.914,-0.550,2.081,Up
9.018,-0.259,2.094,Up
9.122,-0.076,2.083,Up
